gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1680.46401662086,1.82836575745572,0.514481065745737,3.55380572617481,0.000379699586242036,0.0247753980022929,Higher mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,73.4566142331922,9.94953068014581,2.7954747557216,3.55915597512793,0.000372048536250001,0.0247753980022929,Higher mutant abundance,product_only,hypothetical protein,CDS,,
vraR,vraR,Response regulator protein VraR,Response regulator protein VraR,vraR / Response regulator protein VraR,87.5839478738144,8.93300797451399,2.56914443069896,3.4770361166825,0.000506989518904901,0.031757823464203,Higher mutant abundance,gene_and_product,vraR,CDS,,
fur,fur,Ferric uptake regulation protein,Ferric uptake regulation protein,fur / Ferric uptake regulation protein,2177.54135970721,1.46489926331413,0.423509491395617,3.45895261635519,0.000542280295487529,0.0326619593359027,Higher mutant abundance,gene_and_product,fur,CDS,COG0735,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,8344.07352426707,0.786028506105299,0.229689136007205,3.42214054948008,0.000621301879174988,0.0360322317544507,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1922.82421591898,1.7399761863996,0.511353385294864,3.40268830995666,0.000667263551008346,0.0360322317544507,Higher mutant abundance,product_only,hypothetical protein,CDS,,
pglA,pglA,N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase,N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alph,pglA / N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alph,4876.5623889302,1.03391290853098,0.303219189604236,3.40978719018559,0.000650135878324513,0.0360322317544507,Higher mutant abundance,gene_and_product,pglA,CDS,,2.4.1.290
iolU_1,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,3219.68975834806,-1.22442371872027,0.369037852356964,-3.31788110867259,0.000907030833661225,0.0473470095171159,Lower mutant abundance,gene_and_product,iolU_1,CDS,COG0673,1.1.1.371
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5352.2306598647,-1.05772237329682,0.321461232388536,-3.29035748863924,0.00100060172105829,0.0505465256508799,Not significant,product_only,hypothetical protein,CDS,,
tkt,tkt,Transketolase,Transketolase,tkt / Transketolase,110.964210644888,-9.78912075371407,3.02039332496583,-3.24100860401181,0.00119107588863363,0.0561741441857173,Not significant,gene_and_product,tkt,CDS,,2.2.1.1
