,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
ERR1801012,0,5.22943318151785,5.43897864937603,7.55604842889082,8.74203947634722,7.41615932473571,7.17081343055546,6.70458836639791,9.11644918689667
ERR1801013,5.22943318151785,0,5.21806075727398,7.86108482949904,8.80508836687137,7.07409153965542,7.70188100969298,6.59129244202376,9.37307476874471
ERR1801014,5.43897864937603,5.21806075727398,0,7.82839281518952,8.70183546898083,7.33816291615495,7.44058522244384,6.9490292731584,9.20729177191994
ERR1801009,7.55604842889082,7.86108482949904,7.82839281518952,0,7.05654980722882,5.55172990610797,5.51377498836592,5.2373967479518,7.62793122472076
ERR1801010,8.74203947634722,8.80508836687137,8.70183546898083,7.05654980722882,0,6.80021818795196,6.85446354163535,7.04324283258702,8.52645307153398
ERR1801011,7.41615932473571,7.07409153965542,7.33816291615495,5.55172990610797,6.80021818795196,0,5.60074274697171,5.24626225051114,7.93820516717563
ERR1801006,7.17081343055546,7.70188100969298,7.44058522244384,5.51377498836592,6.85446354163535,5.60074274697171,0,5.23542573869028,6.91049043417438
ERR1801007,6.70458836639791,6.59129244202376,6.9490292731584,5.2373967479518,7.04324283258702,5.24626225051114,5.23542573869028,0,7.2506052497401
ERR1801008,9.11644918689667,9.37307476874471,9.20729177191994,7.62793122472076,8.52645307153398,7.93820516717563,6.91049043417438,7.2506052497401,0
