gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
araQ_5,araQ_5,L-arabinose transport system permease protein AraQ,L-arabinose transport system permease protein AraQ,araQ_5 / L-arabinose transport system permease protein AraQ,35.9618198510673,-22.0828310703425,3.90905913087768,-5.64914224395074,1.61250390135859e-08,1.22089581102865e-06,Lower mutant abundance,gene_and_product,araQ_5,CDS,COG0395,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,47.4685125314658,21.7241554100713,3.90749033304618,5.55961846568041,2.70365030031553e-08,1.95400180795531e-06,Higher mutant abundance,product_only,hypothetical protein,CDS,,
oppF_2,oppF_2,Oligopeptide transport ATP-binding protein OppF,Oligopeptide transport ATP-binding protein OppF,oppF_2 / Oligopeptide transport ATP-binding protein OppF,54.1372412717193,21.1244744808785,3.90784701621485,5.40565543974127,6.45718234009665e-08,4.46387822641464e-06,Higher mutant abundance,gene_and_product,oppF_2,CDS,COG4608,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,6898.41823302477,-1.36380865552997,0.255745513621446,-5.33267870946379,9.67744508107771e-08,6.41130736621398e-06,Lower mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3164.94568242855,-1.37423288514123,0.288184356109005,-4.7685894671584,1.85520280472865e-06,0.000117990898380742,Lower mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,279.3890317369,10.2375729785229,2.17501612378351,4.70689521175335,2.5151811271418e-06,0.000150461422206816,Higher mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3797.84196435339,-1.2332985984009,0.262198078256008,-4.70369045648273,2.55500528275726e-06,0.000150461422206816,Lower mutant abundance,product_only,hypothetical protein,CDS,,
rpoN1,rpoN1,RNA polymerase sigma-54 factor 1,RNA polymerase sigma-54 factor 1,rpoN1 / RNA polymerase sigma-54 factor 1,749.654437873251,-3.43561533953537,0.770970406203407,-4.45622207012307,8.3416623682879e-06,0.000473687255913492,Lower mutant abundance,gene_and_product,rpoN1,CDS,COG1508,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1922.82421591898,-2.11589943933864,0.511261240425544,-4.13858761829371,3.49450417438259e-05,0.00191595228871321,Lower mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5075.24276710253,0.892949608282638,0.221093191476438,4.03879288330685,5.37269785433611e-05,0.00284752986279814,Not significant,product_only,hypothetical protein,CDS,,
vraR,vraR,Response regulator protein VraR,Response regulator protein VraR,vraR / Response regulator protein VraR,87.5839478738144,-10.2193839358749,2.56793248994443,-3.97961549841837,6.90268186918077e-05,0.00354040779741852,Lower mutant abundance,gene_and_product,vraR,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,4584.9224263803,-1.06696470255958,0.269530286789554,-3.95860782574188,7.53879055284988e-05,0.00374583655594728,Lower mutant abundance,product_only,hypothetical protein,CDS,,
pyrC,pyrC,Dihydroorotase,Dihydroorotase,pyrC / Dihydroorotase,83.9148280125953,-10.6533893917898,2.77748029459513,-3.83563095389764,0.000125242351439486,0.00603440420572069,Lower mutant abundance,gene_and_product,pyrC,CDS,,3.5.2.3
steT_1,steT_1,Serine/threonine exchanger SteT,Serine/threonine exchanger SteT,steT_1 / Serine/threonine exchanger SteT,9662.72292699688,0.851066983755818,0.222375770498262,3.82715698679263,0.000129631844513571,0.00606219508166404,Not significant,gene_and_product,steT_1,CDS,COG0531,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,205.452367438281,-3.74394524626961,0.980983958043807,-3.81652035751477,0.000135346913027185,0.00614861690609212,Lower mutant abundance,product_only,hypothetical protein,CDS,,
graR,graR,Response regulator protein GraR,Response regulator protein GraR,graR / Response regulator protein GraR,111.032254141315,9.10054866178059,2.50782145978554,3.62886625212899,0.000284668669186464,0.0125728662224021,Higher mutant abundance,gene_and_product,graR,CDS,COG0745,
tkt,tkt,Transketolase,Transketolase,tkt / Transketolase,110.964210644888,10.7567411806399,3.02036158533026,3.56140841973518,0.000368870772105262,0.0154343296749307,Higher mutant abundance,gene_and_product,tkt,CDS,,2.2.1.1
brnQ_1,brnQ_1,Branched-chain amino acid transport system 2 carrier protein,Branched-chain amino acid transport system 2 carrier pr,brnQ_1 / Branched-chain amino acid transport system 2 carrier pr,1700.9286942748,-1.89051198345118,0.530400320538423,-3.56431154025714,0.000364812454053082,0.0154343296749307,Lower mutant abundance,gene_and_product,brnQ_1,CDS,COG1114,
xerC_7,xerC_7,Tyrosine recombinase XerC,Tyrosine recombinase XerC,xerC_7 / Tyrosine recombinase XerC,74.7069972806556,-10.1018789087344,2.91655910675763,-3.46362907075276,0.000532940848928418,0.0217275884563124,Lower mutant abundance,gene_and_product,xerC_7,CDS,,
