sample,PC1,PC2,condition
ERR1801012,-3.69387866404584,0.609335555797105,Tn-Seq_BHI
ERR1801013,-4.07560799950567,0.149099123096839,Tn-Seq_BHI
ERR1801014,-3.86873089742705,0.4373144223038,Tn-Seq_BHI
ERR1801009,1.86884734424992,-0.940581242655837,Tn-Seq_HSerum
ERR1801010,2.67966840563462,-3.35980879115373,Tn-Seq_HSerum
ERR1801011,1.05860939950008,-1.57863160446058,Tn-Seq_HSerum
ERR1801006,1.78382086518075,0.103947441408736,Tn-Seq_Serum
ERR1801007,0.689520123850004,-0.176045598485266,Tn-Seq_Serum
ERR1801008,3.55775142256319,4.75537069414893,Tn-Seq_Serum
