gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,Phosphoenolpyruvate-protein phosphotransferase,ptsI / Phosphoenolpyruvate-protein phosphotransferase,1731.50760211329,-7.03641530686067,1.89997773637611,-3.70341987284622,0.000212712387965277,0.0091408836990484,Lower mutant abundance,gene_and_product,ptsI,CDS,COG1080,2.7.3.9
steT_1,steT_1,Serine/threonine exchanger SteT,Serine/threonine exchanger SteT,steT_1 / Serine/threonine exchanger SteT,9662.72292699688,0.820573701715441,0.222413884449453,3.68939962424842,0.000224783893236988,0.00940543132228451,Not significant,gene_and_product,steT_1,CDS,COG0531,
ydjF,ydjF,putative HTH-type transcriptional regulator YdjF,putative HTH-type transcriptional regulator YdjF,ydjF / putative HTH-type transcriptional regulator YdjF,8015.29476252455,-0.756052134488327,0.20813530839842,-3.63250301117129,0.000280685299546325,0.0114433237507348,Not significant,gene_and_product,ydjF,CDS,COG1349,
lacD,lacD,Tagatose 1,6-diphosphate aldolase,Tagatose 1,6-diphosphate aldolase,lacD / Tagatose 1,6-diphosphate aldolase,403.667554931499,2.57623471119931,0.712528461917543,3.61562358402665,0.000299625489663201,0.0119101132141122,Higher mutant abundance,gene_and_product,lacD,CDS,,4.1.2.40
yggS,yggS,Pyridoxal phosphate homeostasis protein,Pyridoxal phosphate homeostasis protein,yggS / Pyridoxal phosphate homeostasis protein,6210.68114090161,1.32258174330474,0.371653664791734,3.55864039184408,0.000372779515274521,0.0144565714460119,Higher mutant abundance,gene_and_product,yggS,CDS,COG0325,
PhoH-like protein,,PhoH-like protein,PhoH-like protein,PhoH-like protein,3024.11984996163,1.3367500697749,0.37650816368569,3.55038800935755,0.000384663756832862,0.0145622707943869,Higher mutant abundance,product_only,PhoH-like protein,CDS,COG1702,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,771.924165369521,2.13367806384136,0.608264526657095,3.50781275305933,0.000451806934602191,0.0167063494422671,Higher mutant abundance,product_only,hypothetical protein,CDS,,
norG,norG,HTH-type transcriptional regulator NorG,HTH-type transcriptional regulator NorG,norG / HTH-type transcriptional regulator NorG,6596.12959167147,0.811932562275933,0.233056691587361,3.48384144967398,0.000494272198467934,0.0172135678613581,Not significant,gene_and_product,norG,CDS,COG1167,
epsN,epsN,Putative pyridoxal phosphate-dependent aminotransferase EpsN,Putative pyridoxal phosphate-dependent aminotransferase,epsN / Putative pyridoxal phosphate-dependent aminotransferase,373.714819305645,-2.64186693838658,0.757362550510999,-3.48824606736113,0.000486200403653012,0.0172135678613581,Lower mutant abundance,gene_and_product,epsN,CDS,COG0399,2.6.1.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1680.46401662086,1.7917714389923,0.514606464993028,3.48182846676163,0.000498002592215391,0.0172135678613581,Higher mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,72.5237442017986,10.1442997782223,2.91946139409697,3.47471619208037,0.000511394093040462,0.017300353360305,Higher mutant abundance,product_only,hypothetical protein,CDS,,
purH,purH,Bifunctional purine biosynthesis protein PurH,Bifunctional purine biosynthesis protein PurH,purH / Bifunctional purine biosynthesis protein PurH,1901.08763008194,-4.93009899081785,1.42251610858745,-3.46575969231969,0.000528735630732865,0.0175143677680262,Lower mutant abundance,gene_and_product,purH,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5075.24276710253,0.740966001366355,0.221188271021019,3.34993351114871,0.000808309604003757,0.0262288218442035,Not significant,product_only,hypothetical protein,CDS,,
