gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,Phosphoenolpyruvate-protein phosphotransferase,ptsI / Phosphoenolpyruvate-protein phosphotransferase,1731.50760211329,-7.03641530686067,1.89997773637611,-3.70341987284622,0.000212712387965277,0.0091408836990484,Lower mutant abundance,gene_and_product,ptsI,CDS,COG1080,2.7.3.9
steT_1,steT_1,Serine/threonine exchanger SteT,Serine/threonine exchanger SteT,steT_1 / Serine/threonine exchanger SteT,9662.72292699688,0.820573701715441,0.222413884449453,3.68939962424842,0.000224783893236988,0.00940543132228451,Not significant,gene_and_product,steT_1,CDS,COG0531,
ydjF,ydjF,putative HTH-type transcriptional regulator YdjF,putative HTH-type transcriptional regulator YdjF,ydjF / putative HTH-type transcriptional regulator YdjF,8015.29476252455,-0.756052134488327,0.20813530839842,-3.63250301117129,0.000280685299546325,0.0114433237507348,Not significant,gene_and_product,ydjF,CDS,COG1349,
lacD,lacD,Tagatose 1,6-diphosphate aldolase,Tagatose 1,6-diphosphate aldolase,lacD / Tagatose 1,6-diphosphate aldolase,403.667554931499,2.57623471119931,0.712528461917543,3.61562358402665,0.000299625489663201,0.0119101132141122,Higher mutant abundance,gene_and_product,lacD,CDS,,4.1.2.40
yggS,yggS,Pyridoxal phosphate homeostasis protein,Pyridoxal phosphate homeostasis protein,yggS / Pyridoxal phosphate homeostasis protein,6210.68114090161,1.32258174330474,0.371653664791734,3.55864039184408,0.000372779515274521,0.0144565714460119,Higher mutant abundance,gene_and_product,yggS,CDS,COG0325,
PhoH-like protein,,PhoH-like protein,PhoH-like protein,PhoH-like protein,3024.11984996163,1.3367500697749,0.37650816368569,3.55038800935755,0.000384663756832862,0.0145622707943869,Higher mutant abundance,product_only,PhoH-like protein,CDS,COG1702,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,771.924165369521,2.13367806384136,0.608264526657095,3.50781275305933,0.000451806934602191,0.0167063494422671,Higher mutant abundance,product_only,hypothetical protein,CDS,,
norG,norG,HTH-type transcriptional regulator NorG,HTH-type transcriptional regulator NorG,norG / HTH-type transcriptional regulator NorG,6596.12959167147,0.811932562275933,0.233056691587361,3.48384144967398,0.000494272198467934,0.0172135678613581,Not significant,gene_and_product,norG,CDS,COG1167,
epsN,epsN,Putative pyridoxal phosphate-dependent aminotransferase EpsN,Putative pyridoxal phosphate-dependent aminotransferase,epsN / Putative pyridoxal phosphate-dependent aminotransferase,373.714819305645,-2.64186693838658,0.757362550510999,-3.48824606736113,0.000486200403653012,0.0172135678613581,Lower mutant abundance,gene_and_product,epsN,CDS,COG0399,2.6.1.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1680.46401662086,1.7917714389923,0.514606464993028,3.48182846676163,0.000498002592215391,0.0172135678613581,Higher mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,72.5237442017986,10.1442997782223,2.91946139409697,3.47471619208037,0.000511394093040462,0.017300353360305,Higher mutant abundance,product_only,hypothetical protein,CDS,,
purH,purH,Bifunctional purine biosynthesis protein PurH,Bifunctional purine biosynthesis protein PurH,purH / Bifunctional purine biosynthesis protein PurH,1901.08763008194,-4.93009899081785,1.42251610858745,-3.46575969231969,0.000528735630732865,0.0175143677680262,Lower mutant abundance,gene_and_product,purH,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5075.24276710253,0.740966001366355,0.221188271021019,3.34993351114871,0.000808309604003757,0.0262288218442035,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,10168.2855790105,-0.606797708569697,0.18202583121289,-3.33358020961327,0.000857359475441881,0.0272640313190518,Not significant,product_only,hypothetical protein,CDS,,
menE,menE,2-succinylbenzoate--CoA ligase,2-succinylbenzoate--CoA ligase,menE / 2-succinylbenzoate--CoA ligase,1520.71205643381,-1.71541703610279,0.519081615870528,-3.30471545062513,0.000950728710688722,0.0296403656861778,Lower mutant abundance,gene_and_product,menE,CDS,,6.2.1.26
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,68.9029841410141,9.10970501136767,2.78974752052937,3.26542274680078,0.00109300815619644,0.0334208263144679,Higher mutant abundance,product_only,hypothetical protein,CDS,,
ycaM,ycaM,Inner membrane transporter YcaM,Inner membrane transporter YcaM,ycaM / Inner membrane transporter YcaM,10175.443764771,0.891004762101393,0.27396951589818,3.2522040241606,0.00114513790754668,0.0343541372264005,Not significant,gene_and_product,ycaM,CDS,COG0531,
Tn3 family transposase TnBth1,,Tn3 family transposase TnBth1,Tn3 family transposase TnBth1,Tn3 family transposase TnBth1,9639.5399936939,0.794638071853665,0.251513124363321,3.15942984631601,0.00158078152603005,0.0465452338219959,Not significant,product_only,Tn3 family transposase TnBth1,CDS,,
yqiK,yqiK,Inner membrane protein YqiK,Inner membrane protein YqiK,yqiK / Inner membrane protein YqiK,11871.4534688254,0.749239114510665,0.238537624147804,3.14096829457149,0.00168390260713847,0.0486800935518211,Not significant,gene_and_product,yqiK,CDS,COG2268,
