gene_id,product_name,locus_tag_internal,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
hypothetical protein,hypothetical protein,E745S_00072,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00073,1698,1060,820,2205,1225,1920,1610,943,1471
hypothetical protein,hypothetical protein,E745S_00074,2099,2597,3293,5185,4988,3083,5517,2345,2465
hypothetical protein,hypothetical protein,E745S_00075,0,56,84,305,339,214,105,103,454
hypothetical protein,hypothetical protein,E745S_00076,0,0,0,0,1,0,0,10,0
hypothetical protein,hypothetical protein,E745S_00077,6119,5331,5236,6037,6804,10499,7504,7758,4789
hypothetical protein,hypothetical protein,E745S_00078,785,1675,677,1467,2091,2043,1409,1726,765
hypothetical protein,hypothetical protein,E745S_00079,2020,2261,1803,2776,2107,2651,2495,1891,768
hypothetical protein,hypothetical protein,E745S_00080,1313,1854,1691,3848,5059,3615,1975,2004,1398
hypothetical protein,hypothetical protein,E745S_00081,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00082,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00083,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00084,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00085,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00086,0,73,0,0,0,0,0,133,0
hypothetical protein,hypothetical protein,E745S_00087,513,665,348,839,1997,1193,567,460,422
hypothetical protein,hypothetical protein,E745S_00088,4157,4585,3359,7436,6373,5270,4150,6595,2234
IS3 family transposase ISEnfa3,IS3 family transposase ISEnfa3,E745S_00089,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00090,0,0,0,0,0,0,0,0,0
cbh_1,Choloylglycine hydrolase,E745S_00091,1579,1574,815,3382,1345,1508,1850,1878,2518
IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_00092,0,0,0,0,0,0,0,0,0
cbh_2,Choloylglycine hydrolase,E745S_00093,0,0,0,0,0,0,0,0,0
IS1182 family transposase ISEfa7,IS1182 family transposase ISEfa7,E745S_00094,0,0,0,0,0,0,0,0,0
asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,E745S_00095,0,0,0,77,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00096,0,0,0,0,0,0,0,0,0
rpmGA_1,50S ribosomal protein L33 1,E745S_00097,0,0,0,0,0,0,0,0,0
folA_1,Dihydrofolate reductase,E745S_00098,1,8,4,3,2,1,5,4,2
yfiY,putative siderophore-binding lipoprotein YfiY,E745S_00099,653,969,1409,733,1286,2743,1011,797,696
fepC,Ferric enterobactin transport ATP-binding protein FepC,E745S_00100,0,0,0,0,0,1,0,0,0
feuB,Iron-uptake system permease protein FeuB,E745S_00101,8152,6339,7699,13941,7300,7973,13317,11173,4029
feuC,Iron-uptake system permease protein FeuC,E745S_00102,656,711,185,644,674,352,92,535,0
yqgN,putative protein YqgN,E745S_00103,0,0,0,0,0,0,0,0,0
gluP,Rhomboid protease GluP,E745S_00104,0,0,0,0,0,0,1,0,0
yqgQ,putative protein YqgQ,E745S_00105,74,221,97,0,243,86,21,52,0
glcK,Glucokinase,E745S_00106,149,250,559,826,468,1200,521,1051,448
yibN,putative protein YibN,E745S_00107,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00108,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00109,0,0,0,0,0,111,73,306,70
hypothetical protein,hypothetical protein,E745S_00110,0,0,0,0,0,0,0,0,0
galE,UDP-glucose 4-epimerase,E745S_00111,0,0,0,0,0,0,0,0,0
galT,Galactose-1-phosphate uridylyltransferase,E745S_00112,0,0,55,0,0,0,1,158,0
melR_1,HTH-type transcriptional repressor MelR,E745S_00113,0,0,0,0,0,0,0,0,0
tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,E745S_00114,0,0,0,89,0,0,0,21,0
hypothetical protein,hypothetical protein,E745S_00115,85,54,274,171,334,481,120,112,0
rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,E745S_00116,135,58,126,0,2,37,80,106,292
tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,E745S_00117,0,0,0,0,321,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00118,2508,2310,2226,4286,3700,4117,4754,5534,4195
arcA,Arginine deiminase,E745S_00119,0,0,0,505,530,598,155,425,156
arcB,Ornithine carbamoyltransferase, catabolic,E745S_00120,83,132,296,422,2,582,475,193,432
arcC1,Carbamate kinase 1,E745S_00121,0,0,0,0,0,0,0,0,0
argS,Arginine--tRNA ligase,E745S_00122,0,0,0,0,0,0,0,0,0
phnX_1,Phosphonoacetaldehyde hydrolase,E745S_00123,569,210,158,151,1020,344,286,495,481
phnX_2,Phosphonoacetaldehyde hydrolase,E745S_00124,0,0,0,0,0,0,0,0,0
phnW,2-aminoethylphosphonate--pyruvate transaminase,E745S_00125,22251,16377,19182,29503,35349,22165,28278,32228,18190
argR_1,Arginine repressor,E745S_00126,130,142,442,0,345,462,466,189,254
rpsB,30S ribosomal protein S2,E745S_00127,0,0,0,0,0,0,0,0,0
tsf,Elongation factor Ts,E745S_00128,0,0,0,0,0,0,0,0,0
pyrH,Uridylate kinase,E745S_00129,0,0,0,0,0,0,0,0,0
frr,Ribosome-recycling factor,E745S_00130,0,0,0,0,0,0,0,0,0
uppS,Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific),E745S_00131,0,0,0,0,0,1,0,0,0
hypothetical protein,hypothetical protein,E745S_00132,0,0,0,1,0,0,0,0,0
rasP,Regulator of sigma-W protease RasP,E745S_00133,0,0,0,0,0,0,0,0,1
proS,Proline--tRNA ligase,E745S_00134,0,0,0,0,0,0,1,0,0
polC_1,DNA polymerase III PolC-type,E745S_00135,0,0,0,0,1,0,0,0,0
rimP,Ribosome maturation factor RimP,E745S_00136,0,0,0,0,0,0,0,0,0
nusA,Transcription termination/antitermination protein NusA,E745S_00137,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00138,0,0,0,0,0,0,0,0,0
rplGA,putative ribosomal protein YlxQ,E745S_00139,0,0,0,0,0,0,0,0,0
infB,Translation initiation factor IF-2,E745S_00140,0,0,0,0,0,0,0,0,0
rbfA,Ribosome-binding factor A,E745S_00141,0,0,0,0,0,0,0,0,0
phosphoketolase,phosphoketolase,E745S_00142,0,0,0,0,0,0,0,0,0
xpkA_1,Xylulose-5-phosphate phosphoketolase,E745S_00143,1768,1188,928,3793,2285,2781,3813,1025,1120
xpkA_2,Xylulose-5-phosphate phosphoketolase,E745S_00144,0,0,0,0,0,81,1,0,0
truB,tRNA pseudouridine synthase B,E745S_00145,0,0,0,0,0,0,0,0,0
ribF,Bifunctional riboflavin kinase/FMN adenylyltransferase,E745S_00146,0,0,0,0,3,0,14,0,0
gdhIV,Glucose 1-dehydrogenase 4,E745S_00147,9535,9364,8202,8854,8473,9736,8747,11154,7027
glcU_1,Glucose uptake protein GlcU,E745S_00148,0,62,132,334,0,305,483,123,390
hypothetical protein,hypothetical protein,E745S_00149,0,48,0,178,0,80,0,57,64
fra,Intracellular iron chaperone frataxin,E745S_00150,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00151,0,0,0,0,0,0,0,0,0
mccF,Microcin C7 self-immunity protein MccF,E745S_00152,2192,796,1174,2034,1376,858,451,1126,97
hypothetical protein,hypothetical protein,E745S_00153,1666,1444,1095,2441,975,1571,1735,2426,673
ydeA,putative protease YdeA,E745S_00154,2557,2000,4300,7938,5223,2856,7371,4444,3833
hypothetical protein,hypothetical protein,E745S_00155,0,0,0,0,0,0,0,0,0
hemW,Heme chaperone HemW,E745S_00156,1095,642,1266,1478,1666,1640,763,1188,1147
hrcA,Heat-inducible transcription repressor HrcA,E745S_00157,22,68,1,13,0,1,12,32,2
grpE,Protein GrpE,E745S_00158,0,0,0,0,0,0,0,0,0
dnaK,Chaperone protein DnaK,E745S_00159,0,0,0,0,0,0,0,0,0
dnaJ,Chaperone protein DnaJ,E745S_00160,1161,1927,2068,1175,571,1224,1260,1051,871
hypothetical protein,hypothetical protein,E745S_00161,157,120,160,142,340,199,572,251,0
artM_1,Arginine transport ATP-binding protein ArtM,E745S_00162,175,0,440,136,0,58,134,21,0
mltF_1,Membrane-bound lytic murein transglycosylase F,E745S_00163,250,279,0,0,1245,647,81,102,207
uvrB,UvrABC system protein B,E745S_00164,667,695,369,881,207,1331,680,818,0
uvrA,UvrABC system protein A,E745S_00165,1782,2178,2231,2703,1777,1637,2106,2027,311
