,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
E745S_00376,1841,2363,1075,2001,1348,1155,1200,1182,2299
E745S_00377,1451,1452,620,2283,1736,1646,1165,1967,426
E745S_00378,581,975,269,635,589,975,715,1106,1028
E745S_00379,0,0,0,0,0,0,0,0,0
E745S_00380,1712,1865,407,719,3114,1874,1109,1176,1311
E745S_00381,118,0,114,1,720,98,0,91,0
E745S_00382,9,7,7,6,5,10,9,11,22
E745S_00383,17,0,26,0,0,43,0,0,0
E745S_00384,581,455,478,235,508,361,181,109,793
E745S_00385,177,4,0,106,0,165,69,2,396
E745S_00386,0,0,0,0,327,130,156,17,0
E745S_00387,1478,1343,565,1797,1081,1092,694,856,631
E745S_00388,307,542,0,273,0,507,367,229,0
E745S_00389,13268,17907,6451,17522,3686,13227,15502,12333,7422
E745S_00390,5885,4931,1905,6198,11379,10892,5252,6800,6553
E745S_00391,4183,6190,2320,4724,4116,6314,4192,4927,4105
E745S_00392,1,0,0,1,2,1,4,3,6
E745S_00393,750,182,80,344,0,196,1224,721,711
E745S_00394,1,0,0,1,0,0,0,0,1
E745S_00395,847,1470,214,1476,1510,1667,1621,3026,2492
E745S_00396,775,3564,1850,1432,2067,2356,1561,1398,689
E745S_00397,1197,2246,1231,1893,317,1914,886,2282,2452
E745S_00398,7047,8411,3671,8818,9823,8147,6030,5683,5046
E745S_00399,0,0,0,0,0,0,0,0,0
E745S_00400,8270,11409,4641,11100,8540,9411,9977,8345,5848
E745S_00401,74,1,0,79,168,84,40,300,48
E745S_00402,0,0,0,1,0,0,0,0,0
E745S_00403,4,5,0,1,1,3,2,0,1
E745S_00404,2651,3542,757,2685,3531,2611,2273,2145,3196
E745S_00405,0,0,1,0,0,0,0,0,0
E745S_00406,0,0,0,0,0,0,1,0,0
E745S_00407,8669,13767,7438,7697,4510,5411,8329,8074,8370
E745S_00408,55,47,0,152,46,10,40,61,51
E745S_00409,265,235,242,362,0,473,626,229,216
E745S_00410,14038,13586,4694,11169,8068,14139,8719,10149,10468
E745S_00411,32,46,9,37,71,16,36,55,20
E745S_00412,133,187,44,0,358,211,248,218,0
E745S_00413,8748,8268,5309,7708,5916,6132,8060,4190,3680
E745S_00414,142,0,0,329,0,47,0,0,0
E745S_00415,995,872,699,1076,338,1358,590,949,579
E745S_00416,1436,1114,1090,1086,0,1093,732,449,119
E745S_00417,293,624,150,568,331,206,916,706,600
E745S_00418,5319,6815,4185,8630,6666,8345,4985,5519,6877
E745S_00419,206,237,476,298,381,630,291,232,55
E745S_00420,2387,3418,1271,3367,3107,3049,2223,2888,2474
E745S_00421,685,1095,731,1233,1153,840,453,699,864
E745S_00422,162,1,0,148,0,111,222,116,176
E745S_00423,0,0,0,0,0,1,0,1,0
E745S_00424,3065,953,1128,1160,1675,1300,2156,557,568
E745S_00425,2352,4639,1797,2803,3050,2219,1833,3069,2727
E745S_00426,1081,1237,534,1549,2008,1384,1243,1307,1200
E745S_00427,0,0,0,0,0,0,0,0,0
E745S_00428,44,93,74,41,21,62,25,58,30
E745S_00429,3195,2562,1133,932,1479,1645,1402,526,1265
E745S_00430,271,284,217,0,0,79,521,386,389
E745S_00431,2688,1819,1737,450,537,1353,3098,2271,2913
E745S_00432,1650,807,848,706,0,636,1453,1373,1206
E745S_00433,0,0,0,0,0,39,0,0,0
E745S_00434,1477,1383,681,1772,1171,1096,951,1099,975
E745S_00435,262,269,16,501,328,339,131,178,717
E745S_00436,1769,1686,339,1049,1076,586,1110,767,518
E745S_00437,0,0,1,0,0,1,0,0,0
E745S_00438,63,363,0,287,167,203,202,175,6
E745S_00439,0,0,0,0,0,0,0,1,0
E745S_00440,167,0,0,0,1,0,802,1271,906
E745S_00441,65,207,0,0,321,73,0,244,124
E745S_00442,65,207,0,0,321,73,0,50,0
E745S_00443,113,36,32,165,0,268,1055,2280,2786
E745S_00444,50,36,0,123,0,93,517,1229,608
E745S_00445,31,92,0,530,0,0,517,713,396
E745S_00446,1,0,0,0,0,0,253,65,403
E745S_00447,32,37,11,14,7,10,36,14,13
E745S_00448,2858,2370,1115,3072,1710,2420,784,2039,1646
E745S_00449,6,3,0,0,0,0,2,2,6
E745S_00450,0,0,0,1,0,0,0,0,0
E745S_00451,160,273,317,100,673,423,342,0,480
E745S_00452,1181,1443,1222,1876,607,620,1351,762,689
E745S_00453,0,0,0,1,0,0,1,0,1
E745S_00454,1701,1902,1513,1363,836,1051,938,966,1029
E745S_00455,0,50,0,0,0,0,0,151,122
E745S_00456,0,0,0,1,0,0,0,0,0
E745S_00457,1,0,0,0,0,0,0,0,0
E745S_00458,183,411,301,620,1,177,107,172,363
E745S_00459,0,1,0,0,0,0,0,1,0
E745S_00460,0,0,0,0,0,0,0,0,0
E745S_00461,383,771,291,160,785,714,356,734,519
E745S_00462,0,2,1,1,1,0,0,1,0
E745S_00463,4989,4472,3494,5878,7715,8154,4926,5266,5187
E745S_00464,11743,10566,6499,8202,16654,6056,7867,7220,6830
E745S_00465,11205,12546,8372,13670,13311,13443,5998,4923,7282
E745S_00466,0,0,0,0,0,0,0,0,0
E745S_00467,2804,1131,656,1408,869,1734,867,819,756
E745S_00468,228,240,17,645,519,195,480,498,382
E745S_00469,0,0,0,0,0,0,0,0,111
E745S_00470,699,250,330,508,855,540,745,290,134
E745S_00471,158,141,0,430,310,518,222,280,463
E745S_00472,3,0,0,1,0,0,0,0,0
E745S_00473,522,476,248,756,1,258,557,203,471
E745S_00474,0,1,0,0,0,0,1,0,0
E745S_00475,1,0,0,0,0,0,0,0,0
E745S_00476,1681,1719,988,1923,1488,1755,1151,1078,1366
E745S_00477,106,31,77,77,0,111,0,188,276
E745S_00478,0,0,0,0,0,0,0,1,0
E745S_00479,1,0,0,3,0,2,1,3,1
E745S_00480,404,670,32,297,476,121,56,310,181
E745S_00481,1,85,0,0,0,0,0,0,1
E745S_00482,817,254,0,218,683,206,428,372,0
E745S_00483,0,1,0,2,374,0,0,100,1
E745S_00484,0,0,0,0,0,0,0,0,0
E745S_00485,0,0,0,0,0,0,0,0,0
E745S_00486,51,86,0,106,0,171,0,1,0
E745S_00487,1412,1415,735,1593,1223,1073,811,921,918
E745S_00488,10,9,1,479,693,4,2,3,2
E745S_00489,1153,870,601,862,704,411,392,523,558
E745S_00490,0,0,0,0,0,0,0,0,0
E745S_00491,1901,2436,1173,2543,2174,4482,1432,1153,1149
E745S_00492,0,1,0,0,0,2,0,0,0
E745S_00493,1,81,0,489,0,143,86,174,1
E745S_00494,83,106,1,152,0,201,85,103,267
E745S_00495,12530,17585,11710,15522,14660,24521,26568,27819,41059
E745S_00496,0,0,0,0,1,0,0,0,0
E745S_00497,0,0,1,0,0,0,0,0,0
E745S_00498,0,0,0,2,0,0,1,0,0
E745S_00499,577,1197,275,1069,706,1256,1095,1009,303
E745S_00500,529,681,0,580,369,217,172,463,534
E745S_00501,1108,1483,827,1465,1129,1360,963,1108,975
E745S_00502,5,2,0,2,0,4,3,2,1
E745S_00503,0,0,0,0,3,40,1,0,0
E745S_00504,12,11,32,5,8,5,9,9,5
E745S_00505,0,0,0,0,0,1,0,2,0
E745S_00506,0,0,0,0,1,0,1,0,0
E745S_00507,605,815,527,660,695,753,1063,101,542
E745S_00508,0,0,0,0,0,0,0,0,0
E745S_00509,2524,2664,1572,2009,501,2684,1493,982,1399
E745S_00510,154,167,0,0,0,41,0,99,0
E745S_00511,154,166,0,1,0,42,2,99,0
E745S_00512,0,0,72,0,0,0,2,1,2
E745S_00513,0,0,0,0,0,0,0,0,0
E745S_00514,0,156,0,0,0,1,0,0,0
E745S_00515,1,11,0,146,1,116,507,204,548
E745S_00516,0,63,1,1,0,0,0,0,0
E745S_00517,3,3,2,4,2,1,5,1,1
E745S_00518,0,0,0,0,0,2,0,1,1
E745S_00519,0,0,0,0,0,0,0,0,0
E745S_00520,4,0,1,1,4,1,1,1,0
E745S_00521,1,0,1,3,0,2,2,0,0
E745S_00522,7,0,0,0,49,0,0,0,0
E745S_00523,1265,1650,657,1853,1721,1843,1407,1260,1138
E745S_00524,201,33,58,74,0,197,0,108,0
E745S_00525,1,0,1,2,1,1,1,0,1
E745S_00526,1,2,1,0,0,2,5,0,101
E745S_00527,3273,1876,2687,3529,5207,3725,573,1627,2254
E745S_00528,0,0,0,0,0,0,0,0,0
E745S_00529,41,36,0,162,0,2,0,2,0
