,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
ERR1801006,0,7.68632392572289,10.1430443043226,8.13780773643338,10.3361505293288,8.52605304607174,10.4084583669466,11.2085821206596,11.0302519141931
ERR1801007,7.68632392572289,0,10.6577401282276,7.76210190345435,10.5841397164106,7.90561203540377,9.65629861911923,9.48386116289511,10.1943701264893
ERR1801008,10.1430443043226,10.6577401282276,0,11.2972930752115,12.742909027141,11.7760250107801,13.2823011426794,13.6486285096413,13.5031584331822
ERR1801009,8.13780773643338,7.76210190345435,11.2972930752115,0,10.5544730130437,8.46549324483617,11.0019258800428,11.478331564313,11.5652761869499
ERR1801010,10.3361505293288,10.5841397164106,12.742909027141,10.5544730130437,0,10.1682747235225,12.7974277526867,12.8996682552504,12.9491899088206
ERR1801011,8.52605304607174,7.90561203540377,11.7760250107801,8.46549324483617,10.1682747235225,0,10.8033428050122,10.2776655874145,10.7784142060731
ERR1801012,10.4084583669466,9.65629861911923,13.2823011426794,11.0019258800428,12.7974277526867,10.8033428050122,0,7.76153571717975,8.21497915169841
ERR1801013,11.2085821206596,9.48386116289511,13.6486285096413,11.478331564313,12.8996682552504,10.2776655874145,7.76153571717975,0,7.88742781213108
ERR1801014,11.0302519141931,10.1943701264893,13.5031584331822,11.5652761869499,12.9491899088206,10.7784142060731,8.21497915169841,7.88742781213108,0
