feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_02624,119.121268932757,9.89325120398413,2.04409855944926,4.83990909256824,1.29898534610228e-06,0.000135641417192996,CDS,cspLA_2,Cold shock-like protein CspLA,Cold shock-like protein CspLA,cspLA_2,cspLA_2 / Cold shock-like protein CspLA,COG1278,,annotated,cspLA_2 / Cold shock-like protein CspLA,Higher mutant abundance
E745S_01251,4269.87654975868,-1.34081934880768,0.299399132935471,-4.47836750781994,7.52160305808407e-06,0.00074614302336194,CDS,NA,hypothetical protein,hypothetical protein,E745S_01251,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
E745S_00515,172.434619159311,-7.05069911854001,1.58618222129932,-4.44507511423527,8.78611637559467e-06,0.000830078804246659,CDS,glnQ_1,Glutamine transport ATP-binding protein GlnQ,Glutamine transport ATP-binding protein GlnQ,glnQ_1,glnQ_1 / Glutamine transport ATP-binding protein GlnQ,COG1126,3.6.3.-,annotated,glnQ_1 / Glutamine transport ATP-binding protein GlnQ,Lower mutant abundance
E745S_00446,85.051786134739,-9.42203651508089,2.17836765932278,-4.32527377771026,1.52342538117913e-05,0.00131411998098234,CDS,pyrC,Dihydroorotase,Dihydroorotase,pyrC,pyrC / Dihydroorotase,,3.5.2.3,annotated,pyrC / Dihydroorotase,Lower mutant abundance
E745S_02854,472.511686073736,2.36647085879555,0.545946987568489,4.33461657025569,1.46014399349466e-05,0.00131411998098234,CDS,lacD,Tagatose 1,6-diphosphate aldolase,Tagatose 1,6-diphosphate aldolase,lacD,lacD / Tagatose 1,6-diphosphate aldolase,,4.1.2.40,annotated,lacD / Tagatose 1,6-diphosphate aldolase,Higher mutant abundance
E745S_00443,775.893428755714,-5.17642506011931,1.2031075840274,-4.30254544883777,1.68847021325138e-05,0.00139580204295447,CDS,pyrK_2,Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit,Dihydroorotate dehydrogenase B (NAD(+)), electron trans,pyrK_2,pyrK_2 / Dihydroorotate dehydrogenase B (NAD(+)), electron trans,COG0543,,annotated,pyrK_2 / Dihydroorotate dehydrogenase B (NAD(+)), electron trans,Lower mutant abundance
E745S_02594,374.171919990509,-2.64215209496883,0.619046432504274,-4.26810002648807,1.97144929057446e-05,0.00156454215699989,CDS,epsN,Putative pyridoxal phosphate-dependent aminotransferase EpsN,Putative pyridoxal phosphate-dependent aminotransferase,epsN,epsN / Putative pyridoxal phosphate-dependent aminotransferase,COG0399,2.6.1.-,annotated,epsN / Putative pyridoxal phosphate-dependent aminotransferase,Lower mutant abundance
E745S_00118,3665.88893500161,1.05430334780074,0.250229293399419,4.21334901872519,2.51611800382694e-05,0.00191999158445871,CDS,NA,hypothetical protein,hypothetical protein,E745S_00118,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00495,21195.9228373455,-1.19693400021505,0.286254281141547,-4.18136628539433,2.8976263701279e-05,0.00212921878456806,CDS,hcaB,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodio,hcaB,hcaB / 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodio,,1.3.1.87,annotated,hcaB / 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodio,Lower mutant abundance
E745S_01886,110.850110538464,9.23256344990756,2.22798284062413,4.14391138098767,3.41431730309737e-05,0.00241928768905185,CDS,graR,Response regulator protein GraR,Response regulator protein GraR,graR,graR / Response regulator protein GraR,COG0745,,annotated,graR / Response regulator protein GraR,Higher mutant abundance
