feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_00754,997.258844989578,0.704909450472039,0.585630982991398,1.20367513151604,0.228715167792975,0.862398372822627,CDS,dgaF,2-dehydro-3-deoxy-phosphogluconate aldolase,2-dehydro-3-deoxy-phosphogluconate aldolase,dgaF,dgaF / 2-dehydro-3-deoxy-phosphogluconate aldolase,,4.1.2.14,annotated,dgaF / 2-dehydro-3-deoxy-phosphogluconate aldolase,Not significant
E745S_01558,145.267133824829,2.04013284714279,1.6893749036612,1.20762587553623,0.227191201568288,0.862398372822627,CDS,NA,hypothetical protein,hypothetical protein,E745S_01558,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01627,954.97898374302,-0.51777843959999,0.429967806993422,-1.2042260633897,0.228502214833726,0.862398372822627,CDS,opuCC,Glycine betaine/carnitine/choline-binding protein OpuCC,Glycine betaine/carnitine/choline-binding protein OpuCC,opuCC,opuCC / Glycine betaine/carnitine/choline-binding protein OpuCC,COG1732,,annotated,opuCC / Glycine betaine/carnitine/choline-binding protein OpuCC,Not significant
E745S_02486,484.949426860339,1.56343063718744,1.30203538737912,1.20075894429758,0.229844721853332,0.862398372822627,CDS,rsiV,Anti-sigma-V factor RsiV,Anti-sigma-V factor RsiV,rsiV,rsiV / Anti-sigma-V factor RsiV,,,annotated,rsiV / Anti-sigma-V factor RsiV,Not significant
E745S_02659,1413.56179234471,0.316393732744526,0.263045228916877,1.20281114410369,0.229049411315478,0.862398372822627,CDS,NA,ISL3 family transposase ISEfa5,ISL3 family transposase ISEfa5,E745S_02659,ISL3 family transposase ISEfa5,,,annotated,ISL3 family transposase ISEfa5,Not significant
E745S_02783,4228.32396004375,-0.373390222349758,0.309313109421182,-1.20715938308752,0.227370769215905,0.862398372822627,CDS,NA,hypothetical protein,hypothetical protein,E745S_02783,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03041,1592.48470279366,0.39056068095261,0.323383147121078,1.20773356444076,0.22714976308275,0.862398372822627,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_03041,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Not significant
E745S_01210,316.042483653887,-1.144166281415,0.955764552855527,-1.19712148561755,0.231259206619581,0.864598848704784,CDS,mfd,Transcription-repair-coupling factor,Transcription-repair-coupling factor,mfd,mfd / Transcription-repair-coupling factor,,3.6.4.-,annotated,mfd / Transcription-repair-coupling factor,Not significant
E745S_00916,1792.25696482731,0.811267591592576,0.678427650916702,1.19580561095406,0.231772425814335,0.864947820973788,CDS,NA,hypothetical protein,hypothetical protein,E745S_00916,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03026,1315.53554287114,-0.524377207325092,0.438917282591559,-1.19470621942463,0.232201831646822,0.864983314995393,CDS,NA,hypothetical protein,hypothetical protein,E745S_03026,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00296,10.2242358945343,-3.1621971795567,2.66608119255979,-1.18608435046218,0.235588990081483,0.867740250666345,CDS,NA,hypothetical protein,hypothetical protein,E745S_00296,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01032,192.380492447793,-1.72165394384381,1.44661576827149,-1.19012524376183,0.233997169781375,0.867740250666345,CDS,NA,Lactate 2-monooxygenase,Lactate 2-monooxygenase,E745S_01032,Lactate 2-monooxygenase,COG1304,1.13.12.4,annotated,Lactate 2-monooxygenase,Not significant
E745S_01311,281.704081913826,-1.06249341063886,0.896454253361821,-1.18521765796121,0.235931400048072,0.867740250666345,CDS,NA,hypothetical protein,hypothetical protein,E745S_01311,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01557,87.4891078357244,3.33026589053627,2.8095848640471,1.18532311771468,0.235889716559294,0.867740250666345,CDS,yohK,Inner membrane protein YohK,Inner membrane protein YohK,yohK,yohK / Inner membrane protein YohK,COG1346,,annotated,yohK / Inner membrane protein YohK,Not significant
E745S_02247,172.285854437385,1.50868548919197,1.27245309016572,1.18565116533725,0.235760087425501,0.867740250666345,CDS,NA,hypothetical protein,hypothetical protein,E745S_02247,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02821,1393.58650124597,-0.665760135380086,0.560509214054042,-1.1877773258441,0.234921149743598,0.867740250666345,CDS,NA,hypothetical protein,hypothetical protein,E745S_02821,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02832,1464.37102160559,0.268472401855304,0.226701345247883,1.18425588327121,0.236311786710592,0.867740250666345,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_02832,IS256 family transposase ISEf1,,,annotated,IS256 family transposase ISEf1,Not significant
E745S_03076,947.655141764982,-0.880250461725818,0.742186989136237,-1.18602249111138,0.235613417606265,0.867740250666345,CDS,NA,hypothetical protein,hypothetical protein,E745S_03076,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00059,327.821071553237,0.676784248347058,0.578130385193049,1.17064293052348,0.241742333491799,0.879839588327042,CDS,NA,hypothetical protein,hypothetical protein,E745S_00059,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01278,6386.09253021345,-0.351635990088777,0.300136512373822,-1.17158684662402,0.241362971487498,0.879839588327042,CDS,NA,hypothetical protein,hypothetical protein,E745S_01278,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02367,10.0363706153086,-4.30710845564294,3.6689528807303,-1.1739339794371,0.240421470852049,0.879839588327042,CDS,NA,putative ketoamine kinase,putative ketoamine kinase,E745S_02367,putative ketoamine kinase,,2.7.1.-,annotated,putative ketoamine kinase,Not significant
E745S_02762,1454.43101944659,0.404011571085449,0.34491265107155,1.17134459936536,0.241460291204765,0.879839588327042,CDS,NA,IS6 family transposase IS1216E,IS6 family transposase IS1216E,E745S_02762,IS6 family transposase IS1216E,,,annotated,IS6 family transposase IS1216E,Not significant
E745S_02947,438.068638511367,-0.633071434529705,0.540534221534315,-1.17119584534855,0.241520064902597,0.879839588327042,CDS,NA,hypothetical protein,hypothetical protein,E745S_02947,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01746,3552.53617981038,-0.443855387834975,0.380400594487556,-1.16681044737299,0.243286926993201,0.883899593661364,CDS,NA,hypothetical protein,hypothetical protein,E745S_01746,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00917,1756.64967221093,0.713424126916148,0.612212704487141,1.16532068297046,0.243889210030719,0.884527768773382,CDS,pepS,Aminopeptidase PepS,Aminopeptidase PepS,pepS,pepS / Aminopeptidase PepS,COG2309,3.4.11.-,annotated,pepS / Aminopeptidase PepS,Not significant
E745S_02572,480.34705065635,-1.45760388086977,1.25302433029617,-1.16326861787692,0.244720534039418,0.885982952761336,CDS,czrA,HTH-type transcriptional repressor CzrA,HTH-type transcriptional repressor CzrA,czrA,czrA / HTH-type transcriptional repressor CzrA,COG0640,,annotated,czrA / HTH-type transcriptional repressor CzrA,Not significant
E745S_01844,3755.71627119437,0.430805991609245,0.371164974173711,1.16068600645389,0.245769614652674,0.886664459167264,CDS,lacS,Lactose permease,Lactose permease,lacS,lacS / Lactose permease,COG2190,,annotated,lacS / Lactose permease,Not significant
E745S_02713,1864.78074434084,0.552542029198461,0.47588720268735,1.16107772194385,0.245610293644919,0.886664459167264,CDS,treP_1,PTS system trehalose-specific EIIBC component,PTS system trehalose-specific EIIBC component,treP_1,treP_1 / PTS system trehalose-specific EIIBC component,COG1263,,annotated,treP_1 / PTS system trehalose-specific EIIBC component,Not significant
E745S_00199,282.695083178579,1.58963739141347,1.37668049409585,1.15468868646787,0.248217934130111,0.887283606132377,CDS,pcrA,ATP-dependent DNA helicase PcrA,ATP-dependent DNA helicase PcrA,pcrA,pcrA / ATP-dependent DNA helicase PcrA,COG0210,3.6.4.12,annotated,pcrA / ATP-dependent DNA helicase PcrA,Not significant
E745S_00215,1970.89563247565,0.564570395899066,0.489700903732211,1.15288820501707,0.248956273953647,0.887283606132377,CDS,NA,hypothetical protein,hypothetical protein,E745S_00215,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00343,124.221696505577,-1.83550783302507,1.58595544509458,-1.15735144937543,0.2471288012914,0.887283606132377,CDS,msrR,Regulatory protein MsrR,Regulatory protein MsrR,msrR,msrR / Regulatory protein MsrR,,,annotated,msrR / Regulatory protein MsrR,Not significant
E745S_01019,2407.29584165784,-0.538882618903229,0.466502637264514,-1.15515449615277,0.248027165018218,0.887283606132377,CDS,NA,hypothetical protein,hypothetical protein,E745S_01019,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01728,1870.78849287651,0.374908375697206,0.325176791307791,1.15293706598618,0.248936216842231,0.887283606132377,CDS,NA,hypothetical protein,hypothetical protein,E745S_01728,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01952,158.95846025079,2.75742289555079,2.38193368321313,1.15764049813139,0.247010775217708,0.887283606132377,CDS,NA,hypothetical protein,hypothetical protein,E745S_01952,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02078,3753.45982233943,0.391392919462041,0.338944375441414,1.1547408596243,0.248196561873479,0.887283606132377,CDS,nrdD,Anaerobic ribonucleoside-triphosphate reductase,Anaerobic ribonucleoside-triphosphate reductase,nrdD,nrdD / Anaerobic ribonucleoside-triphosphate reductase,COG1328,1.1.98.6,annotated,nrdD / Anaerobic ribonucleoside-triphosphate reductase,Not significant
E745S_00154,4484.51210983428,0.483987622339085,0.420283465508937,1.15157426370082,0.249496062131768,0.887671654562077,CDS,ydeA,putative protease YdeA,putative protease YdeA,ydeA,ydeA / putative protease YdeA,COG0693,3.2.-.-,annotated,ydeA / putative protease YdeA,Not significant
E745S_00049,3204.1802955103,0.330744803986569,0.289150929813018,1.14384831548164,0.252686548578476,0.888389379552367,CDS,NA,hypothetical protein,hypothetical protein,E745S_00049,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00449,2.0194994706859,-4.50039283315412,3.93296522830731,-1.14427475757039,0.252509708320953,0.888389379552367,CDS,pyrR,Bifunctional protein pyrR,Bifunctional protein pyrR,pyrR,pyrR / Bifunctional protein pyrR,,,annotated,pyrR / Bifunctional protein pyrR,Not significant
