,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
E745S_00001,959.179833629184,916.4781738906,869.160612385663,859.043422460996,932.506770428806,1140.34786444396,964.404263192872,849.816586998231,928.457418576674
E745S_00003,1478.91544105022,1347.34193875865,1551.14244120512,1565.36801426226,1593.90425540612,1453.81644530894,1276.90435706009,1349.64832355395,1236.86110656543
E745S_00004,6140.13229232291,3999.17748606807,6482.89647777546,6210.56578016246,10687.8922331684,9700.58175920011,5412.8741424484,5970.26942822308,4682.32546641173
E745S_00010,1952.03024647667,1224.35136131013,183.923500373745,1406.2858989917,818.786432571635,1056.47383875306,1381.41597785674,1091.0084927284,1712.99311609193
E745S_00011,1271.71187662987,1052.95804047864,2596.08834598339,1162.89026262776,732.358975800185,717.588886466594,1262.41759774174,1294.22550266276,1328.84115386032
E745S_00013,4.31674092542387,2.38046278932623,1.62764159622783,4.77246345811665,0.909762702857372,3.38884952286467,3.1043055682174,0,2.16423640693863
E745S_00014,3041.57565605366,4102.33087360554,2249.40068598686,4011.25553654704,3313.35576380655,2767.84284779972,3426.11857878927,2630.53129526143,2272.44822728557
E745S_00016,164.899503351192,537.191102791287,0,784.274828283835,2149.76926685197,283.816147539916,935.430744556176,629.151651968497,676.323877168323
E745S_00017,884.068541526808,1102.94775905449,2343.80389856808,1353.78880095242,592.255519560149,1127.63967873322,1786.01047024774,2373.94416150593,2308.15812800005
E745S_00018,1535.03307308073,1782.17314160891,1608.1098970731,3288.22732264237,1079.8883282917,1497.87148910618,873.344633191828,1606.23545730946,3000.71377822042
E745S_00020,1080.91192772614,1366.38564107326,994.489015295206,1454.80594414922,1728.54913542901,1631.73104525934,1479.71898751696,1296.27819973281,1328.84115386032
E745S_00021,208.930260790515,375.319633117103,234.380389856808,701.552128343147,423.949419531535,94.0405742594946,531.871020687914,276.087755920923,375.495016603853
E745S_00022,1058.46487491393,1629.03003549559,1210.96534759351,2025.91073797052,1600.27259432612,1517.35737386266,1663.90778456453,1555.94437909338,1368.87952738869
E745S_00023,2322.40661787804,2178.91693982995,2366.59088091527,2610.53751158981,2071.52967440624,2185.80794224771,2179.22250888861,2643.87382621672,2178.30394358374
E745S_00024,1360.6367396936,1466.36507822496,1622.75867143915,1829.44432561138,1648.49001757756,473.591720820338,1710.47236808779,780.024886616734,814.835007212396
E745S_00026,1197.46393271258,1609.19284558453,1149.11496693685,1387.99145573559,597.714095777294,754.866231218105,396.316344209088,706.127792095148,1065.88643041728
E745S_00028,0.863348185084774,115.849189080543,0,2.38623172905832,330.243861137226,62.6937161729964,2.06953704547827,1.02634853502202,1.08211820346932
E745S_00029,110.508567690851,75.3813216619974,94.4032125812143,131.242745098208,211.974709765768,49.9855304622539,106.581157842131,74.9234430566073,59.5165011908124
E745S_00030,1268.25848388953,1110.88263501891,1215.84827238219,1440.48855377487,1159.03768344029,1011.5715825751,942.67412421535,1062.27073374779,1082.11820346932
E745S_00031,2719.54678301704,4503.83559740523,3138.09299752726,5826.38247178407,2784.78363344642,5169.68994713005,3425.08381026653,4174.15949193455,5971.12824674369
E745S_00032,21.5837046271193,0,0,22.2714961378777,102.803185422883,10.166548568594,0,70.8180489165192,0
E745S_00033,4883.96068302457,6020.98388180249,8950.40113765685,6228.06481284222,7379.08528287615,4663.9041558425,5245.24164176466,3069.80846825086,2849.21722973471
E745S_00034,3341.15747627807,3239.01636867656,2879.29798372704,3063.12612953453,2449.08119609205,2852.56408587134,3417.84043060736,2527.89644175923,3720.32238352751
E745S_00037,953.13639633359,1264.81922872867,838.235422057334,1092.09872133236,1083.52737910313,1037.8351663773,588.783289438566,867.264512093605,878.679981217085
E745S_00038,4349.54815645709,4841.86131348956,3370.84574578784,3867.28622222719,2926.70661509217,3915.81562367013,3582.36862572288,2827.59021398566,3955.14203368035
E745S_00043,60.4343729559342,55.5441317509455,126.956044505771,62.8374355318692,0,220.275218986203,0,178.584645093831,57.3522647838738
E745S_00044,137.272361428479,212.654675846477,56.9674558679741,0,775.117822834481,424.4534027388,206.953704547827,178.584645093831,449.079054439767
E745S_00047,160.582762425768,144.414742552458,16.2764159622783,478.83716696437,0,142.331679960316,140.728519092522,74.9234430566073,174.22103075856
E745S_00048,3.4533927403391,2.38046278932623,662.450129664728,1.59082115270555,449.422775211542,3.38884952286467,2.06953704547827,1.02634853502202,1.08211820346932
E745S_00049,4355.59159375268,2837.51164487687,2946.03128917238,3197.55051693815,4308.63616073251,2910.17452776003,3121.89663310396,2277.46739921386,2882.76289404226
E745S_00050,652.691227924089,675.257944572208,188.806425162429,308.619303624876,189.230642194333,628.631586491396,839.197271941437,940.135258080168,774.796633684031
E745S_00051,368.649675031198,507.038574126488,623.38673135526,278.393701723471,428.498233045822,673.533842669353,526.697178074219,340.74771362731,277.022260088145
E745S_00052,367.786326846114,1422.72326042065,874.043537174346,226.692014260541,86.4274567714504,227.900130412649,727.44227148561,1088.95579565836,227.244822728557
E745S_00054,319.438828481366,158.697519288416,450.85672215511,330.890799762754,261.101895720066,587.96539221702,526.697178074219,523.437752861229,533.484274310373
E745S_00056,1118.03589968478,1955.94692522972,2316.13399143221,952.901870470624,2930.3456659036,3042.33965915176,1418.66764467535,2363.68067615571,1564.74292221663
E745S_00057,1256.17160929835,2101.15515537862,2387.75022166623,1279.02020677526,3354.29508543513,3364.2803638239,1655.62963638261,2526.87009322421,1704.33617046417
E745S_00058,2646.16218728483,3241.39683146589,2205.45436288871,3553.8944551442,2230.73814740628,4522.4196882629,3606.16830174588,2677.74332787244,2623.05452520962
E745S_00059,208.930260790515,302.318774244432,367.84700074749,358.730169935101,524.933079548704,390.564907510153,161.423889547305,330.48422827709,305.157333378347
E745S_00061,4331.41784457031,4400.68220986776,5919.73248548063,5213.12091741608,2992.2095296979,4207.25668263649,5324.91881801558,4493.35388632639,7960.0615047203
E745S_00062,0,0,499.685970041945,0,0.909762702857372,0,2.06953704547827,0,133.100539026726
E745S_00063,514.555518310525,480.853483443899,524.100593985362,485.995862151545,1111.73002289171,1481.77445387258,407.698797959218,649.678622668937,324.635461040795
E745S_00064,2552.05723511059,1745.67271217257,698.25824478174,1827.05809388232,2374.48065445774,2201.0577651006,2312.70764832196,1420.46637247047,1583.13893167561
E745S_00065,396.276816953911,875.216818875612,1945.03170749226,1717.29143434564,388.468674120098,1156.44489967757,625.000187734436,924.740030054838,760.72909703893
E745S_00067,44.8941056244082,165.838907656394,198.572274739796,210.783802733485,0,261.788625641296,261.796436253001,196.032570189205,0
E745S_00068,15634.3722837002,9091.78088003333,13458.9683592079,13610.2703719723,15301.2988993581,10513.9056446876,11378.3146760395,7563.16235457725,8540.07686177985
E745S_00069,3342.02082446316,3162.04807182168,3730.55453855419,2940.63290077621,4307.72639802966,3859.05239416214,3367.13677299314,3338.71178442662,5503.65318284495
