feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_02701,3389.38636876212,-0.0278803624268047,0.256572115314874,-0.10866481882721,0.913468347076815,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02701,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02718,506.062603458813,-0.10680964341297,1.26255717848845,-0.0845978663246315,0.932581095414907,0.991829016858089,CDS,agaC_2,N-acetylgalactosamine permease IIC component 1,N-acetylgalactosamine permease IIC component 1,agaC_2,agaC_2 / N-acetylgalactosamine permease IIC component 1,COG3715,,annotated,agaC_2 / N-acetylgalactosamine permease IIC component 1,Not significant
E745S_02722,744.234328959121,-0.0615500815358051,0.753239365676973,-0.0817138406998777,0.93487427188146,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02722,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02727,262.51331636448,-0.142472458625586,1.28144209167462,-0.111181347601435,0.911472542379722,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02727,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02731,3519.09166808573,-0.026217051524997,0.243812564005137,-0.107529534550339,0.914368895968644,0.991829016858089,CDS,xerC_11,Tyrosine recombinase XerC,Tyrosine recombinase XerC,xerC_11,xerC_11 / Tyrosine recombinase XerC,,,annotated,xerC_11 / Tyrosine recombinase XerC,Not significant
E745S_02788,224.40148602512,-0.05283530866133,0.762740017545781,-0.0692704033431138,0.944774383842388,0.991829016858089,CDS,NA,IS200/IS605 family transposase ISEfa4,IS200/IS605 family transposase ISEfa4,E745S_02788,IS200/IS605 family transposase ISEfa4,,,annotated,IS200/IS605 family transposase ISEfa4,Not significant
E745S_02881,6.58456719354145,-0.410798087010119,3.74551419763233,-0.109677354118641,0.91266526084424,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02881,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02900,59.1703347442259,0.315228419172723,3.02717308323331,0.104132935417102,0.917063854246672,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02900,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02917,2992.66941173665,0.0312362345139442,0.344580864937514,0.0906499393679582,0.927770749372156,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02917,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02923,2760.83599077976,-0.019438081309353,0.257915625451773,-0.0753660476184978,0.939923472430422,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02923,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02925,1448.69920596467,-0.0309724480352848,0.352691669291889,-0.0878173507683616,0.930021847124287,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_02925,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03003,405.639040551412,-0.0508721420529056,0.488008649470583,-0.104244345070716,0.916975443370877,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_03003,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03086,86.1040867475772,-0.142659071237425,1.72882902139249,-0.0825177443646334,0.934235008491083,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_03086,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_03158,267.299775588032,0.114911742336447,1.68900647060797,0.0680351107802942,0.945757684664172,0.991829016858089,CDS,NA,hypothetical protein,hypothetical protein,E745S_03158,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01663,1215.65322456105,0.0382055019951064,0.576954345243864,0.066219281144261,0.947203246331844,0.992737052679544,CDS,NA,hypothetical protein,hypothetical protein,E745S_01663,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01637,5842.4658855865,-0.0166860365223559,0.255413037641195,-0.0653296193352374,0.947911559891143,0.99295487583106,CDS,adhE,Aldehyde-alcohol dehydrogenase,Aldehyde-alcohol dehydrogenase,adhE,adhE / Aldehyde-alcohol dehydrogenase,COG1012,,annotated,adhE / Aldehyde-alcohol dehydrogenase,Not significant
E745S_02004,219.9743458375,0.0917783352825298,1.43530251262378,0.0639435481198706,0.949015176822359,0.993062294733945,CDS,NA,hypothetical protein,hypothetical protein,E745S_02004,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02824,184.52847447553,-0.0965474252416997,1.50786258527553,-0.0640293261365445,0.948946875831582,0.993062294733945,CDS,NA,hypothetical protein,hypothetical protein,E745S_02824,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00574,19.1984281642385,-0.104928091937463,1.68929419818705,-0.0621135691166591,0.950472391271668,0.993681708535189,CDS,NA,hypothetical protein,hypothetical protein,E745S_00574,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01949,2538.82126881672,-0.0407339575784419,0.657611722123283,-0.0619422619884586,0.950608811895055,0.993681708535189,CDS,NA,hypothetical protein,hypothetical protein,E745S_01949,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00685,106.652600403221,0.145158129103397,2.48268400904596,0.0584682257486237,0.953375671360764,0.994019559207804,CDS,NA,hypothetical protein,hypothetical protein,E745S_00685,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01708,401.344538727179,0.0453735025087331,0.777062018311363,0.058391095484675,0.953437107445791,0.994019559207804,CDS,agaC_1,N-acetylgalactosamine permease IIC component 1,N-acetylgalactosamine permease IIC component 1,agaC_1,agaC_1 / N-acetylgalactosamine permease IIC component 1,COG3715,,annotated,agaC_1 / N-acetylgalactosamine permease IIC component 1,Not significant
E745S_02000,480.618416418306,-0.0910925460341726,1.55021457317482,-0.0587612499652977,0.953142273149405,0.994019559207804,CDS,pcp,Pyrrolidone-carboxylate peptidase,Pyrrolidone-carboxylate peptidase,pcp,pcp / Pyrrolidone-carboxylate peptidase,,3.4.19.3,annotated,pcp / Pyrrolidone-carboxylate peptidase,Not significant
E745S_02285,2864.63343289069,-0.0169655303769551,0.286803357596584,-0.0591538764368956,0.952829546542095,0.994019559207804,CDS,cna,Collagen adhesin,Collagen adhesin,cna,cna / Collagen adhesin,,,annotated,cna / Collagen adhesin,Not significant
