feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_02428,97.1738174737949,-24.0176207521313,3.61002974050737,-6.65302573068436,2.87127972249488e-11,5.17874451766349e-09,CDS,NA,hypothetical protein,hypothetical protein,E745S_02428,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
E745S_02103,10444.4755759238,-6.15554648957896,0.955726256391986,-6.44070040810336,1.18923411416585e-10,1.96620040208754e-08,CDS,sorA_1,PTS system sorbose-specific EIIC component,PTS system sorbose-specific EIIC component,sorA_1,sorA_1 / PTS system sorbose-specific EIIC component,COG3715,,annotated,sorA_1 / PTS system sorbose-specific EIIC component,Lower mutant abundance
E745S_00592,652.673259806423,-4.05795734625272,0.632220145802673,-6.41858278827971,1.37548799624403e-10,2.09920629580628e-08,CDS,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,purQ,purQ / Phosphoribosylformylglycinamidine synthase subunit PurQ,COG0047,6.3.5.3,annotated,purQ / Phosphoribosylformylglycinamidine synthase subunit PurQ,Lower mutant abundance
E745S_02431,104.479024263909,22.0682477299026,3.58743977774019,6.15153120251232,7.67384245550162e-10,1.08749310226537e-07,CDS,NA,hypothetical protein,hypothetical protein,E745S_02431,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00610,3227.32678053863,1.9125515340181,0.346554667705951,5.51875854588368,3.41402897807214e-08,4.51562232833008e-06,CDS,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,iolU_1,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,COG0673,1.1.1.371,annotated,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,Higher mutant abundance
E745S_00414,47.1227226439734,20.4276231225315,3.90911763496158,5.2256353044572,1.73558148639051e-07,2.15212104312423e-05,CDS,NA,hypothetical protein,hypothetical protein,E745S_00414,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00645,284.601806307321,8.44699028399364,1.63862931876263,5.15491221063479,2.53749780533841e-07,2.96140920340671e-05,CDS,NA,hypothetical protein,hypothetical protein,E745S_00645,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_03117,3183.73598274787,-1.22047726559703,0.248385837768004,-4.91363467645436,8.94032696023169e-07,9.85422704949982e-05,CDS,NA,hypothetical protein,hypothetical protein,E745S_03117,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
E745S_02624,119.121268932757,9.89325120398413,2.04409855944926,4.83990909256824,1.29898534610228e-06,0.000135641417192996,CDS,cspLA_2,Cold shock-like protein CspLA,Cold shock-like protein CspLA,cspLA_2,cspLA_2 / Cold shock-like protein CspLA,COG1278,,annotated,cspLA_2 / Cold shock-like protein CspLA,Higher mutant abundance
E745S_01251,4269.87654975868,-1.34081934880768,0.299399132935471,-4.47836750781994,7.52160305808407e-06,0.00074614302336194,CDS,NA,hypothetical protein,hypothetical protein,E745S_01251,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
