gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_00055,160.583639019344,1.58202044180511,0.156396404525942,10.1154527599303,4.71830372127013e-24,1.19227275456748e-23,gene,,,,E745S_00055,,,Up in Serum
E745S_02190,58.8034259936745,5.53285866756947,0.548677675046193,10.0839872282095,6.50323412940996e-24,1.6390402208409e-23,gene,,,,E745S_02190,,,Up in Serum
E745S_02682,160.904259879906,-1.64586865002996,0.163790394693937,-10.048627412526,9.31558624010823e-24,2.33773030559957e-23,gene,,,,E745S_02682,,,Higher in BH
E745S_02443,312.93243716968,1.18650916320868,0.118940425653176,9.97565929912237,1.94803350203883e-23,4.87594628068361e-23,gene,,,,E745S_02443,,,Up in Serum
E745S_00726,332.543251859587,-1.11811265667546,0.112234962447584,-9.96224912711705,2.22960666218198e-23,5.57593212509601e-23,gene,,,,E745S_00726,,,Higher in BH
E745S_02808,147.121975069167,1.60314299302376,0.161862502903711,9.90435069435101,3.98550428270741e-23,9.94156209679628e-23,gene,,,,E745S_02808,,,Up in Serum
E745S_02977,254.548582563804,-1.31757064160292,0.133294173604609,-9.88468292328539,4.85115106447817e-23,1.20698296997401e-22,gene,,,,E745S_02977,,,Higher in BH
E745S_02094,127.544717915657,-1.79151200711494,0.181640018943726,-9.86298073262133,6.02341759051143e-23,1.49354076711915e-22,gene,,,,E745S_02094,,,Higher in BH
E745S_02037,218.197610334228,1.39078246331919,0.141241538940375,9.84683736635233,7.07347729577588e-23,1.75241637514924e-22,gene,manZ_3,,,manZ_3,,,Up in Serum
E745S_02039,152.694161078241,-1.6330844548245,0.167603709056313,-9.74372502863765,1.96226510856877e-22,4.83670934042649e-22,gene,,,,E745S_02039,,,Higher in BH
E745S_01327,127.691784748973,-1.78622885840435,0.183467801260422,-9.73592557458568,2.11879920871602e-22,5.21677252593957e-22,gene,,,,E745S_01327,,,Higher in BH
E745S_00944,49.5792714245426,4.9491248848317,0.508928081606513,9.7246056244509,2.36821295693137e-22,5.82252357907705e-22,gene,,,,E745S_00944,,,Up in Serum
E745S_01240,456.270338785827,-1.08184346051581,0.111443389468304,-9.70756063394415,2.79956810622664e-22,6.86566365393913e-22,gene,znuB,,,znuB,,,Higher in BH
E745S_02888,546.290265777984,-1.05091631828879,0.108353903252854,-9.69892442025253,3.04693599359924e-22,7.46601908869308e-22,gene,gatC_3,,,gatC_3,,,Higher in BH
E745S_00765,105.316920135904,1.91441259208296,0.197432374029104,9.69654850931767,3.11870388803991e-22,7.62903110763376e-22,gene,,,,E745S_00765,,,Up in Serum
E745S_02909,175.058228154446,1.46857756877754,0.151799600439381,9.67444950136082,3.87169670733829e-22,9.44719959351364e-22,gene,,,,E745S_02909,,,Up in Serum
E745S_02328,54.2713608266704,-3.25231951644006,0.336636364878931,-9.6612245608395,4.4056575441607e-22,1.07321080427212e-21,gene,,,,E745S_02328,,,Higher in BH
E745S_00442,430.046146086603,1.38624448623032,0.143962183777212,9.62922657783233,6.01807245015658e-22,1.46110165991708e-21,gene,pyrK_1,,,pyrK_1,,,Up in Serum
E745S_01269,676.888712687393,1.05776969104864,0.110005597892052,9.61559876331589,6.87084206604912e-22,1.66536396788251e-21,gene,,,,E745S_01269,,,Up in Serum
E745S_00037,368.89600612602,-1.05252023964179,0.109660499445613,-9.59798874674834,8.15195534942268e-22,1.97423810500578e-21,gene,xerC_1,,,xerC_1,,,Higher in BH
E745S_02941,240.049634408707,1.21658630118621,0.127659666791439,9.52991913392484,1.57405794509441e-21,3.79940520577929e-21,gene,,,,E745S_02941,,,Up in Serum
E745S_02476,85.52903722974,-2.18263127115781,0.229308855963799,-9.51830343396063,1.76029300315445e-21,4.24189812266772e-21,gene,lhpI,,,lhpI,,,Higher in BH
E745S_02946,177.367673390386,1.4029782192637,0.147683685379008,9.49988629863329,2.10119600330106e-21,5.05502608728048e-21,gene,,,,E745S_02946,,,Up in Serum
E745S_02828,305.672937179355,-1.13483430560149,0.119607867897179,-9.48795698437708,2.35606476488351e-21,5.66350497983145e-21,gene,guaA_2,,,guaA_2,,,Higher in BH
E745S_02892,122.388496877514,-1.89859315314971,0.200738068478968,-9.45806227755267,3.13702429168385e-21,7.5345525685575e-21,gene,,,,E745S_02892,,,Higher in BH
E745S_02602,392.193232213731,-1.12079206713841,0.118670673716453,-9.44455805329278,3.56907254613369e-21,8.55813029801909e-21,gene,,,,E745S_02602,,,Higher in BH
E745S_01816,467.064202848872,-1.30163755891066,0.138195671464527,-9.41880121943449,4.56267309205427e-21,1.09047137692693e-20,gene,,,,E745S_01816,,,Higher in BH
