gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E745S_00099,3909.87286245477,3.829625356868,0.067313731065715,56.8921867238251,0,0
E745S_00122,64711.5232618083,3.09973338218104,0.0539716779287934,57.4325924472947,0,0
E745S_00127,28468.2801185969,-2.77332420261682,0.0602698022360355,-46.0151535217522,0,0
E745S_00147,3453.49392550433,2.60939254107348,0.0667229460370166,39.1078736185575,0,0
E745S_00148,2675.58318607064,3.14024003035304,0.0731212535470678,42.9456536645899,0,0
E745S_00189,25697.2041196501,-2.10563284880667,0.0505352159486406,-41.6666439289909,0,0
E745S_00192,2904.51487854044,2.99477280868875,0.0723403414042535,41.3983781463418,0,0
E745S_00195,5478.67555230486,-5.40883919043593,0.0842047666177844,-64.2343587862111,0,0
E745S_00196,8882.85743506652,-6.02479987198871,0.101628112606458,-59.2828078517899,0,0
E745S_00197,8201.29999322004,-5.49459712013912,0.0716205671046613,-76.7181459497479,0,0
E745S_00272,5014.33228953546,4.66554789361698,0.0736012473265046,63.389522094918,0,0
E745S_00312,1240.66057033665,5.00735135299301,0.120007915706271,41.7251755729921,0,0
E745S_00313,938.639832245033,4.36578940454381,0.114025148941378,38.2879517814823,0,0
E745S_00314,3765.90330171384,7.36346575921786,0.135306398968511,54.4206764451069,0,0
E745S_00315,2396.71782600505,7.02851100421592,0.14969561232549,46.9520174641693,0,0
E745S_00317,3540.36562393935,6.9852789718805,0.131924191006738,52.9491893683375,0,0
E745S_00319,2642.20322109934,3.4853276768226,0.0912687601593506,38.1875207983257,0,0
E745S_00322,10356.5127004844,4.33688499469935,0.0798991284660171,54.2795031430653,0,0
E745S_00323,1575.10045603043,3.58145026990341,0.0872479354411943,41.0491119565498,0,0
E745S_00328,7497.1105294909,3.17362356417877,0.0760297742261392,41.7418517479652,0,0
E745S_00330,6308.98355180231,3.15180642812711,0.0706541262357079,44.6089506168746,0,0
E745S_00337,2794.27597778428,-3.02080961898466,0.0719404908410177,-41.9903948898597,0,0
E745S_00349,9499.72348167996,-4.57702536892292,0.0707589460470023,-64.6847589544732,0,0
E745S_00350,2948.3062193366,-4.94581321727125,0.0956852372032665,-51.6883624039593,0,0
E745S_00377,1894.58476073324,-3.07447121729113,0.0774736407137112,-39.6840936990717,0,0
E745S_00378,2957.89265781886,-3.1960744112003,0.070347285150814,-45.4328039006538,0,0
E745S_00387,3787.57351871152,-2.49358272468524,0.0654175203733236,-38.1179645828045,0,0
E745S_00397,11597.8635048162,5.61690925192739,0.0750937470416185,74.7986280244397,0,0
E745S_00415,2339.10836572001,4.80594726578301,0.104400557989314,46.0337316039531,0,0
E745S_00432,4826.80100356182,3.06135988117614,0.060731223199077,50.4083356124904,0,0
E745S_00454,12595.9836891606,3.66931089138715,0.0648535736096904,56.5783917085316,0,0
E745S_00460,14041.6279625779,-2.09060705168288,0.0520653295261885,-40.153535389252,0,0
E745S_00491,2026.61536489545,3.51877436810241,0.0813569962516171,43.2510359308216,0,0
E745S_00499,16762.6535176743,2.86193618867694,0.0543981739545828,52.6108871056294,0,0
E745S_00504,4365.47592354963,-3.25974332165064,0.0686864539180657,-47.4583143502954,0,0
E745S_00505,6974.58443086729,-3.64478928420253,0.0745928043971071,-48.8624782733585,0,0
E745S_00518,3377.61056638008,-2.83319092941274,0.0666494560194971,-42.5088380103798,0,0
E745S_00533,14220.2616136909,7.74564612531994,0.0992650913702359,78.0299097940732,0,0
E745S_00585,32694.7452295925,5.82401719086055,0.0839956457026544,69.3371322065627,0,0
E745S_00588,7736.22116927593,8.08869273941845,0.21018408495898,38.4838497215288,0,0
E745S_00596,28325.969496615,3.74233500504664,0.0594127077352561,62.988797307851,0,0
E745S_00597,9688.70825335528,3.48257393859392,0.0585979500693012,59.4316684197184,0,0
E745S_00598,3107.17082126812,5.65588680763547,0.102897031396565,54.9664721214131,0,0
E745S_00663,6840.39205379449,-2.31604682273842,0.059578664642447,-38.873761885028,0,0
E745S_00667,1713.18786408476,5.11255769758151,0.104471053393669,48.9375528579798,0,0
E745S_00668,4258.12344638716,4.93610385928927,0.0799736787029986,61.7216056500374,0,0
E745S_00717,21258.0538395639,2.91359658265088,0.0723497110156117,40.2710189405205,0,0
E745S_00813,14171.787757361,4.30764960083769,0.0708438812571477,60.8048221582026,0,0
E745S_00824,8449.2884499023,-2.35831967690395,0.0561521242449524,-41.9987615538151,0,0
E745S_00825,4438.75851758608,-3.08084063493402,0.0649160876477566,-47.4588156275079,0,0
E745S_00826,7788.32704383636,-2.49110881648681,0.0555384988676557,-44.853729706,0,0
E745S_00827,4434.33455138406,-2.56725137804043,0.0614274768893195,-41.7932089684576,0,0
E745S_00828,6684.89057797912,-2.40860256042079,0.0583217919849764,-41.2985005851885,0,0
E745S_00831,9855.36714978676,-2.9640534162124,0.0573474486775349,-51.6858811431925,0,0
E745S_00832,6687.04542119896,-3.69185550347479,0.0646003262195016,-57.1491774040034,0,0
E745S_00833,14034.428159724,-4.86452496706948,0.0743931416091674,-65.3894278672327,0,0
E745S_00834,13842.6974722043,-4.8602729115979,0.0716608815942031,-67.8232363804893,0,0
E745S_00835,27144.7137520216,-5.20971568751552,0.0620525858503142,-83.9564639591751,0,0
E745S_00836,8023.7938077425,-5.34996966100242,0.0953005661556063,-56.137858113739,0,0
E745S_00837,10113.4533277781,-5.22639672527,0.0891343698003503,-58.6350331188347,0,0
E745S_00838,19409.251849462,-5.2434611790518,0.0763770197894873,-68.6523406320906,0,0
E745S_00839,17935.144266645,-5.48831786172244,0.0695656589041653,-78.8940685415376,0,0
E745S_00840,16619.1694305191,-5.63768069222127,0.0751654284731198,-75.0036393957016,0,0
E745S_00841,11776.7891166773,-5.69991813730428,0.0861180388221999,-66.1872729019338,0,0
E745S_00842,18298.3859593607,-4.47235530270468,0.0702361352580275,-63.6759879551249,0,0
E745S_00843,10012.2137787531,-4.46510691124962,0.0692308395275645,-64.4959232290086,0,0
E745S_00853,22393.9602288223,4.3616463248884,0.075454630281876,57.8048863084292,0,0
E745S_00880,11341.8906147761,-2.25715375174052,0.0547094121743144,-41.2571377032676,0,0
E745S_00899,11790.5546404201,-2.01062213532026,0.0530075435515255,-37.9308679596868,0,0
E745S_00936,945.503752656586,4.54785535347828,0.117454989968427,38.7199841803297,0,0
E745S_00972,2793.39519662315,4.59383773861809,0.0838061891688919,54.8150176517426,0,0
E745S_00973,1367.16705871518,4.51925601343973,0.101395104691911,44.570751489152,0,0
E745S_00983,3232.74512686779,5.20003523825021,0.0860744531908058,60.4132241969986,0,0
E745S_00985,1331.26896413315,5.45847914701111,0.126098161896637,43.2875393654463,0,0
E745S_00986,1810.00063880079,3.89630532572614,0.0885740935501685,43.9892204318102,0,0
E745S_01026,49876.3742017757,-3.09009480732872,0.0500649759514172,-61.721687639026,0,0
E745S_01027,109008.599943521,-2.87479521892189,0.0742316076425924,-38.7273738265693,0,0
E745S_01028,25641.429405334,-2.54861192390544,0.0578546908012023,-44.0519496104968,0,0
E745S_01029,30212.212887547,-2.61877115238781,0.0565510491259646,-46.3080914123206,0,0
E745S_01087,4766.54975203309,-2.42314880585259,0.0616905604301804,-39.2790856324776,0,0
E745S_01088,4066.99507858479,-3.48674958631528,0.0706530968843968,-49.3502725297424,0,0
E745S_01096,2522.10783318769,2.86741254899327,0.0735760870849005,38.9720718048586,0,0
E745S_01158,21533.6956349629,-4.37878645661549,0.0627219780993948,-69.8126332954053,0,0
E745S_01159,15993.4205835106,-4.15650107119678,0.067031064155014,-62.0085795085184,0,0
E745S_01162,24420.4465424229,2.4487640585475,0.0519024386171736,47.1801349568427,0,0
E745S_01217,162879.659751573,2.0057197540062,0.0498339107937223,40.2480905483916,0,0
E745S_01361,18477.4214371488,-3.00238697680595,0.0643511788633956,-46.6562855542927,0,0
