,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_00660,4268,3921,3108,692,813,742
E745S_00661,2594,2608,2529,510,575,527
E745S_00662,7161,7344,6663,1736,1993,1905
E745S_00663,12828,12820,10982,2026,2312,2103
E745S_00664,471,554,499,110,120,109
E745S_00665,1767,1869,1605,841,1055,845
E745S_00666,2267,2283,2013,891,1025,895
E745S_00667,107,102,100,2958,3351,3063
E745S_00668,280,310,275,6764,8396,8103
E745S_00669,3386,3112,2984,3231,3503,3553
E745S_00670,432,469,431,354,489,442
E745S_00671,1863,1918,1762,1886,2144,2041
E745S_00672,1630,1753,1608,1519,1907,1645
E745S_00673,3732,3406,3050,3101,3532,3204
E745S_00674,10315,10203,9315,5003,5565,5176
E745S_00675,707,642,581,2268,2949,2648
E745S_00676,1231,1052,1157,861,1011,940
E745S_00677,1908,2142,1899,1350,1608,1434
E745S_00678,4938,5126,4614,2568,3278,2915
E745S_00679,6005,5318,5050,1100,1298,1138
E745S_00680,1523,1599,1471,235,289,250
E745S_00681,2041,2051,1701,2106,2337,2269
E745S_00682,3362,3333,3058,3044,3403,3008
E745S_00683,1047,1045,948,663,649,600
E745S_00684,382,353,315,215,245,216
E745S_00685,2809,2489,2126,2722,3176,2842
E745S_00686,5955,5586,4826,5485,5947,5576
E745S_00687,828,691,643,1164,1269,1269
E745S_00688,23949,27747,27497,21539,28386,25920
E745S_00689,13402,12123,11468,3452,3921,3627
E745S_00690,22940,21733,20531,26001,27659,24950
E745S_00691,4355,3984,3526,645,784,780
E745S_00692,8320,8052,7100,2268,2543,2574
E745S_00693,380,408,351,663,646,671
E745S_00694,71,48,54,68,77,75
E745S_00695,731,723,753,820,1081,926
E745S_00696,469,442,409,227,276,258
E745S_00697,9432,9008,8310,11539,13089,12294
E745S_00698,12152,13358,11789,8409,10250,9652
E745S_00699,1103,839,821,1089,1440,1139
E745S_00700,4389,4137,3684,2736,3022,2839
E745S_00701,2728,2327,1876,1529,1758,1596
E745S_00702,3203,2862,2496,1976,2211,2077
E745S_00703,1022,903,847,668,659,598
E745S_00704,4273,3775,3505,2554,2885,2657
E745S_00705,9,5,5,0,1,0
E745S_00706,2277,1854,1818,885,1102,893
E745S_00707,2535,2921,2480,1447,1687,1543
E745S_00708,8514,8256,8065,2675,3061,2870
E745S_00709,3,0,2,2,0,3
E745S_00710,15924,13141,12410,12073,13733,12704
E745S_00711,9588,7951,7310,5148,5867,5440
E745S_00712,9065,8417,7751,1959,2309,2174
E745S_00713,922,724,772,956,1115,1011
E745S_00714,166,175,159,322,296,295
E745S_00715,519,566,459,168,189,186
E745S_00716,2780,2959,2727,1527,1705,1627
E745S_00717,6056,5310,4660,33686,39051,32966
E745S_00718,1291,1473,1258,2065,2438,2241
E745S_00719,3531,3208,2783,810,870,815
E745S_00720,2528,2476,2044,10182,11837,10438
E745S_00721,153,137,141,752,805,656
E745S_00722,8890,9123,9119,1931,2497,2024
E745S_00723,8956,8047,7129,3922,4597,4071
E745S_00724,5621,5579,4973,1662,1928,1790
E745S_00725,5293,5365,4712,1773,2115,1912
E745S_00726,485,514,463,176,210,205
E745S_00727,16919,16409,15476,10745,12477,11310
E745S_00728,4977,5514,4643,2004,2419,2225
E745S_00729,2069,1930,1745,866,921,881
E745S_00730,25,26,36,13,6,8
E745S_00731,101,119,97,27,25,31
E745S_00732,793,718,776,340,365,333
E745S_00733,234,249,213,36,76,50
E745S_00734,1240,1227,951,2422,2496,2763
E745S_00735,512,457,421,213,269,223
E745S_00736,48,42,38,38,35,35
E745S_00737,845,866,718,540,560,560
E745S_00738,132,167,169,57,70,87
E745S_00739,55,58,49,26,28,27
E745S_00740,21,22,23,29,19,15
E745S_00741,6,6,4,6,2,1
E745S_00742,26,27,24,20,21,26
E745S_00743,1,1,3,10,12,3
E745S_00744,1,3,3,6,3,3
E745S_00745,90,106,130,26,49,35
E745S_00746,241,273,237,122,155,159
E745S_00747,93,86,81,39,48,27
E745S_00748,401,440,375,365,471,367
E745S_00749,179,194,178,765,716,753
E745S_00750,173,174,162,86,73,72
E745S_00751,355,401,360,247,320,300
E745S_00752,125,132,102,811,873,970
E745S_00753,494,470,369,3111,3066,3232
E745S_00754,150,128,107,125,120,118
E745S_00755,150,163,138,136,156,129
E745S_00756,141,136,114,114,102,96
E745S_00757,51,47,43,33,47,28
E745S_00758,74,58,49,53,61,70
E745S_00759,12,13,13,17,10,10
E745S_00760,40,44,34,29,34,31
E745S_00762,11,25,10,22,20,12
E745S_00763,227,202,206,348,379,343
E745S_00764,1,1,2,0,6,3
E745S_00765,45,58,39,151,160,157
E745S_00766,88,86,66,183,197,186
E745S_00767,185,188,176,96,111,126
E745S_00768,21,18,27,37,37,34
E745S_00769,9,7,17,21,23,12
E745S_00770,17,11,17,29,14,21
E745S_00771,5,8,6,6,9,5
E745S_00772,17,22,11,15,17,12
E745S_00773,3,3,3,4,4,2
E745S_00774,15,3,5,5,7,11
E745S_00775,93,78,65,91,79,65
E745S_00776,1713,1602,1497,630,759,669
E745S_00777,276,253,250,512,589,527
E745S_00778,5,3,2,4,6,9
E745S_00779,43,49,27,30,45,52
E745S_00780,9,9,9,28,38,32
E745S_00781,26,27,18,61,58,68
E745S_00782,13,9,6,25,27,28
E745S_00784,54,55,44,59,51,59
E745S_00801,10532,9596,8711,8318,9614,9139
E745S_00802,5016,4238,4062,3853,4400,4158
E745S_00803,23535,22085,20049,11282,12505,11331
E745S_00804,2315,2167,2230,986,1031,1076
E745S_00805,23413,22487,22736,4730,5727,5106
E745S_00806,218,261,230,390,422,394
E745S_00807,79322,68117,66547,22253,27573,23399
E745S_00808,68022,61745,58725,19859,22495,20124
E745S_00809,4497,4542,4236,7305,7934,7169
E745S_00810,653,711,648,904,1140,1107
E745S_00811,3174,3093,2721,2709,3115,3026
E745S_00813,1670,1449,1264,23105,28048,24920
E745S_00814,3017,2734,2667,2649,3125,2837
E745S_00816,7988,7789,7184,7727,9136,8263
E745S_00817,955,877,880,1037,1145,1081
E745S_00818,17913,17961,16204,4094,4723,4056
E745S_00819,1416,1433,1422,945,1106,917
E745S_00820,1520,1454,1283,539,584,583
E745S_00821,5068,5306,4782,3554,4102,3705
E745S_00822,476,544,481,906,1187,1002
E745S_00824,15713,15616,14093,2457,2703,2597
E745S_00825,8958,8758,7795,855,921,863
E745S_00826,14720,14425,13321,2075,2369,2178
E745S_00827,8087,8514,7759,1096,1331,1182
E745S_00828,12272,12778,11102,1860,2181,1928
E745S_00829,14267,12020,10691,1598,1869,1726
E745S_00830,2456,2539,2419,313,339,305
E745S_00831,19563,19472,17114,1998,2223,2079
E745S_00832,13283,14201,12393,832,1017,859
E745S_00833,30976,29439,26778,851,1012,762
E745S_00834,30065,29387,26533,825,1010,763
E745S_00835,57397,60131,52317,1258,1515,1253
E745S_00836,19150,16221,14992,379,403,298
E745S_00837,24207,20829,18354,511,531,437
E745S_00838,45241,39611,36712,884,1083,848
E745S_00839,38650,39924,34213,700,842,661
E745S_00840,38703,35580,30554,536,700,611
E745S_00841,23528,25555,24977,418,482,352
E745S_00842,41835,36660,34061,1328,1692,1432
E745S_00843,21480,20914,19141,715,970,765
E745S_00844,454,459,445,467,550,512
E745S_00845,6170,5841,5973,5981,7184,6564
E745S_00846,3204,3560,2971,4329,5312,4929
E745S_00847,3133,3009,2802,3309,3599,3329
E745S_00848,2607,2771,2434,2809,3025,2820
E745S_00849,169,173,183,184,186,221
E745S_00850,102594,104135,95570,52998,61861,57274
E745S_00851,21995,24348,24861,8863,10954,9871
E745S_00852,12538,12558,11171,11805,12880,11807
E745S_00853,2391,2395,1901,40313,39889,39579
E745S_00854,52,49,64,43,50,50
E745S_00855,8561,8840,7709,1958,2161,2035
E745S_00856,10874,10066,9543,4731,5460,4995
E745S_00857,3185,3360,3189,3263,3763,3572
E745S_00858,763,673,692,288,406,358
E745S_00859,10712,10733,9717,7460,8618,7714
E745S_00860,2100,2066,1825,1536,1752,1702
E745S_00861,615,638,575,550,602,520
E745S_00862,3574,3814,3452,1437,1745,1607
E745S_00863,490,753,573,494,588,543
E745S_00864,789,868,794,3270,3580,3727
E745S_00865,7924,7791,7079,7754,8639,7878
E745S_00866,9591,10289,8403,16825,17065,16315
E745S_00867,10039,10687,9367,15990,19426,17110
E745S_00868,1045,974,908,334,382,368
E745S_00869,309,297,244,483,557,543
E745S_00870,703,797,728,285,380,353
E745S_00871,636,604,530,889,856,875
E745S_00874,22,31,25,20,26,23
E745S_00875,1919,1879,1620,2425,2928,2728
E745S_00876,5472,5321,4737,5771,6107,5951
E745S_00877,3258,3066,2572,1089,1225,1116
E745S_00878,4756,4710,4208,1508,1620,1571
E745S_00879,5285,5333,4539,1186,1546,1463
E745S_00880,20133,20661,19403,3469,3947,3630
E745S_00881,10726,11214,10012,3096,3539,3282
E745S_00882,870,939,943,151,157,132
E745S_00884,11519,12768,11179,6219,7512,6636
E745S_00885,7739,8173,6854,2659,3363,2873
E745S_00886,7326,6685,5663,2514,2770,2572
E745S_00887,4731,4997,4568,1411,1717,1492
E745S_00888,1172,1155,1006,303,407,312
E745S_00889,806,845,874,279,303,279
E745S_00890,3966,3717,3232,1084,1268,1185
E745S_00891,4734,4917,4454,1397,1727,1468
E745S_00892,4269,4687,3825,1185,1376,1291
E745S_00893,1592,1575,1383,481,602,516
E745S_00894,1074,993,1011,299,399,322
E745S_00895,2634,2530,2326,1052,1385,1194
E745S_00896,456,506,461,200,237,191
E745S_00897,7132,7433,6683,1829,2027,1843
E745S_00899,20871,20763,19034,4157,4708,4331
E745S_00900,7402,7361,7249,1470,1685,1557
E745S_00901,5510,5566,5117,993,1181,1131
E745S_00902,2308,2546,2449,237,344,279
E745S_00903,7370,7110,6341,2097,2325,2097
E745S_00904,13625,14093,12609,5633,6866,6130
E745S_00905,7562,7849,6988,2979,3512,3182
E745S_00906,21351,19762,17808,9861,11510,10418
E745S_00907,4321,4059,3878,1773,2021,1930
E745S_00908,8036,8519,7256,2404,3132,2760
E745S_00909,4181,3948,3670,1651,1914,1773
E745S_00910,2288,2221,1973,1141,1245,1053
E745S_00911,3623,2964,2701,1682,1733,1641
E745S_00912,3560,2630,2441,1367,1538,1498
E745S_00913,3857,3728,3141,1656,1895,1670
E745S_00914,8862,8742,7831,4927,5066,4890
E745S_00915,5707,5300,4804,1854,2381,2187
E745S_00916,351,335,304,945,1028,956
E745S_00917,4228,4485,4063,7636,8669,8280
E745S_00918,31,40,46,19,22,18
E745S_00926,6,7,4,21,33,35
E745S_00930,19,17,13,77,82,67
E745S_00934,24,20,17,367,502,430
E745S_00935,27,31,39,317,401,339
E745S_00936,92,79,78,1508,1849,1757
E745S_00937,2,0,1,19,34,26
E745S_00938,2,5,6,261,288,235
E745S_00939,8,5,6,318,386,383
E745S_00940,4,5,6,209,265,208
E745S_00941,9,3,6,316,356,347
E745S_00942,4,4,3,215,247,195
E745S_00943,7,5,5,221,311,286
E745S_00944,3,5,2,89,109,73
E745S_00945,19,15,17,826,977,874
E745S_00946,6,2,1,243,250,226
E745S_00947,71,49,55,633,730,632
E745S_00948,14,22,15,203,227,231
E745S_00949,41,42,27,793,896,903
E745S_00950,1,4,3,34,47,46
E745S_00951,5,2,2,77,80,84
E745S_00952,64,45,47,933,954,970
E745S_00953,26,24,21,397,444,466
E745S_00954,15,19,13,208,235,230
E745S_00955,4,7,1,111,108,92
E745S_00956,401,413,449,289,383,340
E745S_00957,84,70,65,573,726,681
E745S_00958,11,20,23,27,32,39
E745S_00963,32,26,23,208,256,205
E745S_00964,13,17,8,127,138,112
E745S_00965,23,28,31,261,310,255
E745S_00966,11,10,7,80,122,86
E745S_00967,29,29,28,336,415,398
E745S_00968,8,4,3,50,28,33
E745S_00969,21,26,20,278,262,240
E745S_00970,15,10,12,96,119,116
E745S_00971,4,2,3,62,89,78
E745S_00972,250,258,206,4860,5370,4859
E745S_00973,123,130,114,2179,2703,2509
E745S_00974,83,71,91,1331,1762,1570
E745S_00976,26,24,22,509,683,611
E745S_00977,0,2,2,33,35,40
E745S_00978,4,12,8,112,139,155
E745S_00979,57,38,22,1270,1302,1219
E745S_00980,70,58,78,1783,2023,1642
E745S_00981,19,22,13,452,534,516
E745S_00982,38,35,35,958,1105,838
E745S_00983,192,192,166,5543,6175,5989
E745S_00984,1029,996,956,4228,4615,4483
E745S_00985,53,71,66,2272,2542,2510
E745S_00986,288,227,217,2915,3367,3270
E745S_00987,29,38,25,1214,1786,1346
E745S_00988,884,883,870,611,768,711
E745S_00989,441,472,380,336,397,325
E745S_00990,192,196,168,405,494,411
E745S_00991,1058,1207,1108,653,750,689
E745S_00992,24973,26772,23828,25730,29988,27365
E745S_00993,2959,3277,2978,810,861,782
E745S_00994,1615,1699,1647,3142,3079,2948
E745S_00995,188,166,160,415,472,447
E745S_00996,423,498,474,948,1086,955
E745S_00997,6135,6197,5268,1829,2201,2054
E745S_00998,4208,3940,3443,1688,1919,1824
E745S_00999,5137,5505,4883,2555,2937,2726
E745S_01000,5719,5563,4987,3408,3893,3376
E745S_01001,3537,3876,3604,2715,3199,2834
E745S_01002,12908,10961,9673,2623,2834,2629
E745S_01003,4423,4099,3714,525,590,584
E745S_01005,181,170,126,118,118,117
E745S_01007,29,29,25,24,31,34
E745S_01008,28,40,27,29,46,33
E745S_01009,23,28,30,37,50,53
E745S_01010,13645,12721,11100,10186,11646,11289
E745S_01011,5764,4891,4515,3112,3560,3358
E745S_01012,533,541,504,275,280,297
E745S_01013,37,35,25,27,20,36
E745S_01014,324,347,293,1626,1873,2014
E745S_01015,66,73,63,405,541,484
E745S_01016,3712,4287,3886,5363,6348,6010
E745S_01017,15975,16911,15649,13397,14965,13768
E745S_01018,9224,9103,8488,7643,8919,8001
E745S_01019,915,962,901,732,821,714
E745S_01020,454,432,390,601,746,644
E745S_01021,851,932,891,465,467,432
E745S_01022,2730,2810,2436,377,440,423
E745S_01023,51,54,55,27,22,17
E745S_01024,506,442,426,231,264,244
E745S_01025,126,114,110,115,138,147
E745S_01026,96981,98653,90948,9018,10584,9928
E745S_01027,223860,218919,174991,23568,24094,25764
E745S_01028,46036,51208,43473,6511,7498,7068
E745S_01029,54430,60043,52409,7213,8578,8048
E745S_01030,1321,1144,1066,1364,1543,1528
E745S_01031,1470,1479,1396,1738,2140,1784
E745S_01032,1415,1274,1274,1059,1190,1177
E745S_01033,801,677,701,1154,1327,1180
E745S_01034,5501,5317,5072,1366,1675,1566
E745S_01035,109,81,103,80,152,129
E745S_01036,615,545,497,301,313,336
E745S_01037,1660,1748,1679,3453,4490,3894
E745S_01038,1437,1327,1493,486,651,590
E745S_01039,1134,1237,1120,264,303,281
E745S_01040,198,197,176,148,181,148
E745S_01041,142,154,143,174,234,188
E745S_01042,47,45,49,116,132,124
E745S_01043,331,418,316,257,329,295
E745S_01044,184,202,176,237,279,231
E745S_01045,789,668,654,556,645,608
E745S_01046,4957,4374,4092,2133,2523,2151
E745S_01047,1819,1862,1729,856,961,879
E745S_01048,1561,1166,980,400,424,389
E745S_01049,690,632,588,219,277,266
E745S_01050,1916,1941,1808,460,512,509
E745S_01051,5943,4919,4947,1823,1991,1889
E745S_01052,4944,4834,4324,1952,2412,2107
E745S_01053,1454,1368,1187,1566,1799,1558
E745S_01054,897,842,816,979,1097,926
E745S_01055,979,955,859,500,621,531
E745S_01056,6477,6920,6826,2884,3085,3016
E745S_01058,8750,9485,8707,10767,12641,11644
E745S_01059,588,632,585,322,346,327
E745S_01060,4768,5550,4891,10177,12318,11366
E745S_01061,5925,6376,6018,23858,26034,24089
E745S_01062,658,755,711,169,192,185
E745S_01063,11245,10454,8899,4725,5292,4952
E745S_01064,2115,2149,2011,1079,1135,1035
E745S_01065,4573,4643,4181,2370,2650,2665
E745S_01066,883,847,830,287,368,324
E745S_01067,1679,1665,1509,1115,1279,1091
E745S_01068,488,510,447,280,336,289
E745S_01069,469,461,361,229,264,282
E745S_01070,15803,15588,14238,17163,20169,18390
E745S_01071,8980,8383,7236,5048,6010,5325
E745S_01072,19475,19583,16733,7072,8751,7557
E745S_01073,8611,7926,7093,1776,2187,1813
E745S_01074,1813,2113,1751,6874,7225,6706
E745S_01075,1218,1299,1103,3150,3477,3291
E745S_01076,3055,2893,2722,3640,4023,3847
E745S_01077,31531,31839,27528,39636,45193,43188
E745S_01078,1232,1256,1198,603,817,681
E745S_01079,1369,1264,1129,679,862,731
E745S_01080,658,578,528,231,230,181
E745S_01081,1130,987,936,154,178,170
E745S_01082,1180,1305,1161,789,917,899
E745S_01083,173,170,186,775,941,923
E745S_01084,2708,3091,2744,12805,13589,12299
E745S_01085,585,460,478,1457,1927,1830
E745S_01086,890,835,748,455,519,510
E745S_01087,9102,8768,7945,1331,1541,1347
E745S_01088,7699,8558,7710,578,690,609
E745S_01089,13,18,23,5,8,5
E745S_01090,39,33,20,18,24,17
E745S_01091,17,16,18,6,7,10
E745S_01092,16,9,19,12,6,11
E745S_01093,5,7,5,1,1,5
E745S_01094,23,47,38,25,26,30
E745S_01095,46,36,45,18,25,26
E745S_01096,600,700,650,3837,4504,4155
E745S_01097,923,814,964,294,363,316
E745S_01098,2860,2663,2650,1080,1255,1221
E745S_01099,1402,1331,1322,1557,1612,1533
E745S_01100,936,771,708,860,934,931
E745S_01101,981,1165,1012,3137,3749,3588
E745S_01102,1508,1400,1359,4483,4766,4476
E745S_01103,7724,8327,7248,14703,16369,15010
E745S_01104,3444,3243,2963,4041,4456,4117
E745S_01105,4394,3905,3575,6093,6669,6219
E745S_01106,754,676,640,1386,1576,1468
E745S_01107,481,475,473,197,211,202
E745S_01108,240,210,174,91,106,91
E745S_01109,42,23,31,22,18,20
E745S_01110,177,138,129,80,75,74
E745S_01111,5,9,8,3,0,1
E745S_01112,32,48,37,24,26,17
E745S_01113,32,32,27,14,17,14
E745S_01114,40,45,50,19,18,27
E745S_01115,23,39,25,22,15,9
E745S_01116,51,50,50,38,47,36
E745S_01117,5,5,8,7,7,7
E745S_01118,17,22,13,7,10,14
E745S_01119,14,17,11,9,10,8
E745S_01120,7,22,15,28,16,18
E745S_01121,90,103,84,60,67,60
E745S_01122,527,606,532,305,378,390
E745S_01123,75,75,64,161,157,187
E745S_01124,172,141,142,118,130,147
E745S_01125,191,193,170,111,113,114
E745S_01126,158,184,141,73,79,84
E745S_01127,299,300,267,132,138,136
E745S_01128,369,335,348,126,145,126
E745S_01129,7371,9276,8680,4211,5155,4476
E745S_01130,5125,4881,4354,3143,3674,3311
E745S_01131,1444,1308,1174,514,547,519
E745S_01132,326,316,316,181,190,183
E745S_01133,309,312,236,121,155,135
E745S_01134,185,225,179,61,58,62
E745S_01135,537,521,510,413,463,441
E745S_01136,546,573,531,481,500,502
E745S_01137,313,384,322,219,244,248
E745S_01138,284,274,266,146,188,155
E745S_01139,62,66,67,19,26,28
E745S_01140,113,129,92,90,86,86
E745S_01141,22,20,17,16,16,27
E745S_01142,16,19,18,12,10,14
E745S_01143,3049,2789,2715,1090,1232,1092
E745S_01144,1514,1524,1506,431,556,519
E745S_01145,91,104,83,186,228,227
E745S_01146,3962,4298,3955,1996,2598,2422
E745S_01147,168,196,195,109,118,110
E745S_01148,19,18,29,21,19,21
E745S_01149,10,2,8,14,16,13
E745S_01150,68,62,62,742,811,1121
E745S_01151,8,6,9,384,397,494
E745S_01152,269,277,260,231,247,226
E745S_01153,847,804,798,115,151,134
E745S_01154,1231,1171,1057,872,1045,934
E745S_01155,1746,1584,1427,1088,1351,1126
E745S_01156,138,148,112,86,53,58
E745S_01157,1515,1531,1336,1014,1146,1023
E745S_01158,45904,47600,38705,1693,2020,1853
E745S_01159,35279,32264,29779,1570,1717,1490
E745S_01160,1125,1018,958,434,495,448
E745S_01161,23479,23322,20700,6239,7403,6669
E745S_01162,8414,8303,7568,34956,41926,39464
E745S_01163,1313,1352,1338,362,440,446
E745S_01164,5878,4891,4549,1890,2128,1983
E745S_01165,4764,5259,3822,1921,2194,2008
E745S_01166,6268,6585,5837,1427,1841,1612
E745S_01167,5506,5246,4647,892,1087,980
E745S_01168,472,487,492,534,543,441
E745S_01169,1514,1745,1531,315,416,385
E745S_01170,98,81,87,76,87,81
E745S_01172,8413,8316,7818,3329,4404,3970
E745S_01200,38452,41411,36158,14600,17279,16105
E745S_01201,3179,3169,2937,1478,1592,1417
E745S_01202,3645,3401,2846,931,1140,1033
E745S_01203,33610,26167,24074,27589,31071,29350
E745S_01204,6586,6236,5271,3863,4342,4017
E745S_01205,2740,2291,2354,2038,2236,2124
E745S_01206,8156,9151,8248,7131,8777,8102
E745S_01207,3768,3753,3677,3322,3647,3474
E745S_01208,1101,1076,886,421,377,421
E745S_01209,2540,2284,2323,898,1057,917
E745S_01210,10975,10601,9280,4847,5494,5088
E745S_01211,776,741,683,264,283,269
E745S_01212,75971,85665,78033,18630,22170,20249
E745S_01213,4461,4557,4290,3250,3839,3738
E745S_01214,2387,1939,1769,1551,1565,1552
E745S_01215,347,337,313,123,133,145
E745S_01216,2529,2682,2385,3295,3828,3419
E745S_01217,69717,72417,66348,226006,266159,242599
E745S_01218,1210,1091,1316,848,1169,1029
E745S_01219,5714,5364,4834,5379,6021,5427
E745S_01220,3669,3266,2949,4584,4798,4631
E745S_01221,1123,1185,1127,1599,1827,1700
E745S_01222,4022,3997,3542,5810,6432,5664
E745S_01223,19942,20055,18357,13116,14748,13850
E745S_01224,7372,7393,6379,3925,4530,4135
E745S_01225,7252,6681,6082,4066,4689,4348
E745S_01226,4330,4079,3584,2175,2410,2288
E745S_01227,2169,1969,1729,1523,1621,1497
E745S_01228,5462,4928,4572,3959,4473,4196
E745S_01229,5543,5469,4416,9446,10553,9818
E745S_01230,11387,10384,9214,16410,18220,15744
E745S_01231,972,838,800,551,604,540
E745S_01232,2057,1996,1706,1214,1359,1241
E745S_01233,578,414,381,336,350,320
E745S_01234,839,813,717,597,633,636
E745S_01235,3262,3140,2875,6589,7272,7274
E745S_01236,862,682,596,1521,1787,1606
E745S_01237,9421,9205,9026,5391,6427,5439
E745S_01238,13680,14587,12804,7247,8681,7709
E745S_01239,4000,4206,3642,1966,2303,1968
E745S_01240,690,613,682,241,276,307
E745S_01241,894,879,867,360,458,399
E745S_01242,1718,1957,1805,441,535,501
E745S_01243,4473,4275,3809,3399,3806,3675
E745S_01244,5443,5478,4834,4749,5525,5186
E745S_01245,1460,1980,1574,1232,1477,1371
E745S_01246,22359,21137,20229,27412,30559,29717
E745S_01247,16144,14827,13695,13685,16256,15226
E745S_01248,3382,3224,3033,1255,1450,1308
E745S_01249,4170,4352,4088,2553,2887,2615
E745S_01250,7623,7399,6843,5429,5760,5638
E745S_01251,2868,2851,2625,1911,2388,2082
E745S_01252,1746,1623,1479,1024,1209,1069
E745S_01253,2419,2372,2020,2146,2276,2251
E745S_01254,1203,1082,1007,1301,1499,1354
E745S_01255,3430,3240,3064,5387,6480,5469
E745S_01256,86,103,88,11,10,8
E745S_01257,3109,2685,2437,1038,1078,1093
E745S_01258,3810,4923,3967,1661,1840,1768
E745S_01259,1754,1969,1712,494,619,541
E745S_01260,6298,6706,5831,1692,2004,1775
E745S_01261,2331,2171,2030,861,907,826
E745S_01262,18892,20595,18399,11850,13551,12005
E745S_01263,3903,3869,3432,3800,4213,4133
E745S_01264,6715,5860,5097,4399,4963,4573
E745S_01265,2179,2072,1785,1474,1840,1622
E745S_01266,1725,1686,1601,1228,1393,1275
E745S_01267,4951,4821,4451,3371,3861,3308
E745S_01268,2109,2287,1967,1190,1395,1236
E745S_01269,588,417,408,777,921,879
E745S_01270,30,29,30,6,4,5
E745S_01271,5,2,2,1,0,1
E745S_01272,947,892,824,1525,1778,1701
E745S_01273,379,393,439,57,70,58
E745S_01274,293,316,283,425,479,479
E745S_01275,377,428,415,119,110,130
E745S_01276,477,522,468,92,111,106
E745S_01277,678,690,628,88,96,85
E745S_01278,17312,16981,15672,5060,5675,5382
E745S_01279,514,426,448,1741,1947,1882
E745S_01280,75,80,73,61,72,57
E745S_01281,332,370,357,210,216,225
E745S_01282,1202,1334,1145,196,192,184
E745S_01283,1635,1725,1555,210,291,240
E745S_01284,8,8,15,13,14,14
E745S_01285,135,138,127,147,164,171
E745S_01286,385,384,360,366,395,426
E745S_01287,214,204,175,1268,1405,1180
E745S_01288,207,221,179,246,251,237
E745S_01289,76,73,94,100,142,141
E745S_01290,4,2,7,3,4,2
E745S_01291,534,485,597,140,138,120
E745S_01292,542,496,416,69,106,131
E745S_01293,1040,1096,942,894,987,973
E745S_01294,3530,3646,3197,683,682,666
E745S_01295,626,558,574,395,460,429
E745S_01296,3038,2917,2593,988,1070,954
E745S_01297,30,27,38,60,84,68
E745S_01298,849,851,758,2054,2567,2259
E745S_01299,1368,1284,1091,863,1053,912
E745S_01300,641,555,490,405,458,434
E745S_01301,86,86,67,172,214,215
E745S_01302,326,296,274,667,893,749
E745S_01303,6,7,4,1,2,1
E745S_01304,129,150,137,70,89,98
E745S_01305,4,6,5,7,14,12
E745S_01306,7,6,5,13,9,10
E745S_01307,6,4,10,5,8,8
E745S_01308,108,134,110,111,100,98
E745S_01310,64,52,47,42,36,40
E745S_01311,1438,1327,1217,2520,2962,2715
E745S_01312,109,121,99,183,241,227
E745S_01313,6,4,3,8,6,8
E745S_01314,8,7,4,12,14,15
E745S_01315,2,0,4,4,8,9
E745S_01316,7,16,8,9,9,20
E745S_01317,5,4,7,2,0,3
E745S_01319,33,23,23,7,15,10
E745S_01320,18,23,17,13,21,14
E745S_01321,43,37,41,36,21,34
E745S_01322,42,37,53,11,12,12
E745S_01323,121,133,136,42,44,54
E745S_01324,934,1011,917,343,395,321
E745S_01325,665,705,614,243,274,213
E745S_01326,129,154,137,41,49,54
E745S_01327,199,235,202,42,58,62
E745S_01328,122,99,98,38,48,40
E745S_01329,2546,2635,2515,1041,1253,1067
E745S_01330,85,118,86,54,72,43
E745S_01331,218,220,185,100,111,98
E745S_01332,11,17,10,14,25,16
E745S_01333,7,8,5,20,33,25
E745S_01334,120,126,122,28,41,46
E745S_01335,26,27,50,4,7,8
E745S_01336,151,181,146,48,48,38
E745S_01337,1067,993,891,307,323,324
E745S_01338,23,27,32,7,8,14
E745S_01339,37,34,40,59,55,69
E745S_01340,851,799,752,949,1081,1020
E745S_01341,530,576,461,635,741,682
E745S_01342,35,35,40,34,47,51
E745S_01343,223,235,213,267,294,258
E745S_01344,23,14,15,21,21,17
E745S_01345,97,94,90,81,125,79
E745S_01346,312,298,307,303,384,329
E745S_01347,127,109,149,148,205,191
E745S_01348,53,47,51,66,78,49
E745S_01349,22,12,12,25,35,22
E745S_01350,18,24,22,17,32,27
E745S_01351,27,37,25,15,20,13
E745S_01352,193,241,197,198,257,246
E745S_01353,10,18,12,21,23,20
E745S_01354,42,44,27,62,58,55
E745S_01355,529,543,507,763,837,775
E745S_01356,298,244,238,413,499,479
E745S_01357,71,73,74,96,162,123
E745S_01359,421,446,399,511,602,515
E745S_01360,217,216,230,346,403,327
E745S_01361,35821,33927,35533,3469,4306,3790
E745S_01362,57781,59342,59183,2968,3390,3237
E745S_01363,19230,23206,20260,15873,18998,17467
E745S_01364,1141,1146,1049,830,922,915
E745S_01365,122,81,114,57,63,46
E745S_01366,183,157,144,1681,1665,1470
E745S_01367,42,54,62,20,22,18
E745S_01368,144,120,141,44,31,33
E745S_01369,68,85,77,43,43,46
E745S_01370,16,21,15,11,11,11
E745S_01371,6,9,7,4,4,4
E745S_01372,13,18,5,4,6,4
E745S_01373,20,20,17,7,9,6
E745S_01374,28,33,35,14,16,10
E745S_01375,16,19,14,7,12,16
E745S_01376,34,41,29,10,16,16
E745S_01377,1362,1463,1229,1224,1353,1239
E745S_01378,74290,68184,64807,27213,30667,28517
