,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_00161,12,11,11,1,5,2
E745S_00162,21011,19769,17944,8982,10552,9338
E745S_00163,30100,30549,28958,12066,13471,13187
E745S_00164,2604,2570,2290,3960,4368,4089
E745S_00165,4581,4245,3802,6979,8181,7455
E745S_00166,8617,8327,7906,2869,3403,3038
E745S_00167,8843,9354,7958,3504,3932,3475
E745S_00168,2789,2785,2478,3315,3504,3328
E745S_00169,4710,4872,4338,5138,5717,5219
E745S_00170,2297,2422,2299,2384,2946,2669
E745S_00171,31,32,35,43,41,56
E745S_00172,40,44,47,60,71,66
E745S_00173,142,129,138,328,417,333
E745S_00174,8,4,3,10,9,11
E745S_00175,127,114,103,148,160,152
E745S_00176,29,21,30,202,203,244
E745S_00177,32,29,24,227,279,236
E745S_00178,34,39,26,110,112,121
E745S_00179,1516,1515,1253,2320,2521,2402
E745S_00180,7691,6606,6243,4879,5451,5019
E745S_00181,3368,2690,2545,4770,5860,5386
E745S_00182,8873,7609,6915,12338,12891,11973
E745S_00183,10988,9401,8256,13174,15328,14278
E745S_00184,20717,20739,19097,7085,8298,8634
E745S_00185,843,727,740,808,940,817
E745S_00186,2886,2601,2344,4610,5191,4827
E745S_00187,1080,1013,949,1596,2105,1880
E745S_00188,966,959,898,366,385,366
E745S_00189,45396,46705,41843,8372,9869,9058
E745S_00190,25581,25423,22005,18624,21666,21289
E745S_00191,4921,4644,4217,2178,2489,2259
E745S_00192,769,675,636,4648,5049,4814
E745S_00193,51,53,42,1381,1467,1351
E745S_00194,17,18,18,243,202,246
E745S_00195,11967,12424,10055,212,255,243
E745S_00196,17638,22048,16608,194,278,287
E745S_00197,17337,17645,16518,301,369,333
E745S_00198,1859,1860,1661,1067,1295,1131
E745S_00199,6024,5879,5266,3495,3919,3705
E745S_00200,5854,4928,4552,3038,3373,3096
E745S_00201,3298,2557,2288,1219,1614,1411
E745S_00202,5705,4836,4613,2735,3495,3119
E745S_00203,9842,8207,7791,7188,8162,7413
E745S_00204,18206,15791,13527,12426,14177,13771
E745S_00205,5643,5514,4843,902,970,922
E745S_00206,100,94,122,25,25,28
E745S_00207,1536,1361,1400,516,611,586
E745S_00208,339,283,240,517,609,621
E745S_00209,169,205,151,103,107,105
E745S_00210,88,71,62,88,87,75
E745S_00211,92,79,81,115,130,112
E745S_00212,2121,2067,1831,508,589,550
E745S_00213,2399,2124,1983,739,940,849
E745S_00214,3656,3454,2910,1225,1384,1190
E745S_00215,3060,3027,2744,1060,1267,1174
