gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E745S_00127,28468.2801185969,-2.77332420261682,0.0602698022360355,-46.0151535217522,0,0
E745S_00189,25697.2041196501,-2.10563284880667,0.0505352159486406,-41.6666439289909,0,0
E745S_00195,5478.67555230486,-5.40883919043593,0.0842047666177844,-64.2343587862111,0,0
E745S_00196,8882.85743506652,-6.02479987198871,0.101628112606458,-59.2828078517899,0,0
E745S_00197,8201.29999322004,-5.49459712013912,0.0716205671046613,-76.7181459497479,0,0
E745S_00337,2794.27597778428,-3.02080961898466,0.0719404908410177,-41.9903948898597,0,0
E745S_00349,9499.72348167996,-4.57702536892292,0.0707589460470023,-64.6847589544732,0,0
E745S_00350,2948.3062193366,-4.94581321727125,0.0956852372032665,-51.6883624039593,0,0
E745S_00377,1894.58476073324,-3.07447121729113,0.0774736407137112,-39.6840936990717,0,0
E745S_00378,2957.89265781886,-3.1960744112003,0.070347285150814,-45.4328039006538,0,0
E745S_00387,3787.57351871152,-2.49358272468524,0.0654175203733236,-38.1179645828045,0,0
E745S_00460,14041.6279625779,-2.09060705168288,0.0520653295261885,-40.153535389252,0,0
E745S_00504,4365.47592354963,-3.25974332165064,0.0686864539180657,-47.4583143502954,0,0
E745S_00505,6974.58443086729,-3.64478928420253,0.0745928043971071,-48.8624782733585,0,0
E745S_00518,3377.61056638008,-2.83319092941274,0.0666494560194971,-42.5088380103798,0,0
E745S_00663,6840.39205379449,-2.31604682273842,0.059578664642447,-38.873761885028,0,0
E745S_00824,8449.2884499023,-2.35831967690395,0.0561521242449524,-41.9987615538151,0,0
E745S_00825,4438.75851758608,-3.08084063493402,0.0649160876477566,-47.4588156275079,0,0
E745S_00826,7788.32704383636,-2.49110881648681,0.0555384988676557,-44.853729706,0,0
E745S_00827,4434.33455138406,-2.56725137804043,0.0614274768893195,-41.7932089684576,0,0
E745S_00828,6684.89057797912,-2.40860256042079,0.0583217919849764,-41.2985005851885,0,0
E745S_00831,9855.36714978676,-2.9640534162124,0.0573474486775349,-51.6858811431925,0,0
E745S_00832,6687.04542119896,-3.69185550347479,0.0646003262195016,-57.1491774040034,0,0
E745S_00833,14034.428159724,-4.86452496706948,0.0743931416091674,-65.3894278672327,0,0
E745S_00834,13842.6974722043,-4.8602729115979,0.0716608815942031,-67.8232363804893,0,0
E745S_00835,27144.7137520216,-5.20971568751552,0.0620525858503142,-83.9564639591751,0,0
E745S_00836,8023.7938077425,-5.34996966100242,0.0953005661556063,-56.137858113739,0,0
E745S_00837,10113.4533277781,-5.22639672527,0.0891343698003503,-58.6350331188347,0,0
E745S_00838,19409.251849462,-5.2434611790518,0.0763770197894873,-68.6523406320906,0,0
E745S_00839,17935.144266645,-5.48831786172244,0.0695656589041653,-78.8940685415376,0,0
E745S_00840,16619.1694305191,-5.63768069222127,0.0751654284731198,-75.0036393957016,0,0
E745S_00841,11776.7891166773,-5.69991813730428,0.0861180388221999,-66.1872729019338,0,0
E745S_00842,18298.3859593607,-4.47235530270468,0.0702361352580275,-63.6759879551249,0,0
E745S_00843,10012.2137787531,-4.46510691124962,0.0692308395275645,-64.4959232290086,0,0
E745S_00880,11341.8906147761,-2.25715375174052,0.0547094121743144,-41.2571377032676,0,0
